SKILL_20180327_000001	Attack	공격	
SKILL_20180327_001327	Dive Bomb	다이브 봄	
SKILL_20180327_001328	Aiming	에이밍	
SKILL_20180327_001329	Inimigos dentro de uma área ao redor do seu falcão poderão ser atacados de fora do alcance normal. Este ganho de área aumenta conforme o nível da habilidade.	매의 활동 범위 안에 있는 적을 대상으로 하면 사정거리 밖에서도 공격을 맞출 수 있게 됩니다. 스킬 레벨에 따라 공격 가능한 범위가 넓어집니다.	
SKILL_20180327_001330	Pre-Emptive Strike	선제 공격	
SKILL_20180327_001331	The hawk automatically attacks enemies near its master. It targets enemies that its master attacks with Sonic Strike and oncoming enemies with Hovering. The damage of Hovering and Sonic Strike used through Pre-Emptive Strike increase in proportion to skill level. The hawk cannot use unlearned skills. Continuously consumes SP, and the effect cancels if low on SP.	주인 근처의 적을 자동으로 공격합니다. 주인이 공격한 적은 음속타로 대응하고, 주인을 공격하는 적은 호버링으로 대응합니다. 스킬 레벨이 오를수록 선제 공격 스킬로 인해 사용되는 호버링과 음속타의 대미지가 증가합니다. 배우지 않은 스킬은 사용하지 않습니다. SP를 지속적으로 소모하고, SP가 부족하면 버프가 해제됩니다.	
SKILL_20180327_001332	Consume #{CaptionRatio}# SP per 5 seg{nl}+#{CaptionRatio2}#% increased damage for Hovering and Sonic Strike	5초당 SP #{CaptionRatio}# 소모{nl}호버링, 음속타 대미지 #{CaptionRatio2}#% 증가	
SKILL_20180327_001333	Cannon Shot	캐논샷	
SKILL_20180327_001334	{#DD5500}{ol}[Missile: Cannon]{/}{/}{nl}Fires cannonballs to target enemies on ground. The damage is halved against airborne enemies.	{#DD5500}{ol}[미사일:캐논]{/}{/}{nl}지상의 적들을 대상으로 캐논포를 발사해 공격합니다. 공중의 적들에게는 1/2의 공격력이 적용됩니다.	
SKILL_20180327_001335	Shootdown	슛다운	
SKILL_20180327_001336	{#DD5500}{ol}[Missile: Cannon]{/}{/}{nl}Fires cannonballs to target airborne enemies. The damage is halved against enemies on ground.	{#DD5500}{ol}[미사일:캐논]{/}{/}{nl}공중의 적들을 대상으로 캐논포를 발사해 공격합니다. 지상의 적들에게는 1/2의 공격력이 적용됩니다.	
SKILL_20180327_001337	Siege Burst	시즈버스트	
SKILL_20180327_001338	{#DD5500}{ol}[Missile: Cannon]{/}{/}{nl}Fires a howitzer to the ground. 5x damage is dealt to an enemy's structure.	{#DD5500}{ol}[미사일:캐논]{/}{/}{nl}지정된 지면을 향해 곡사포를 발사합니다. 적의 구조물에 대해서는 5배의 피해를 입힙니다.	
SKILL_20180327_001339	Cannon Blast	캐논 블래스트	
SKILL_20180327_001340	{#DD5500}{ol}[Missile: Cannon]{/}{/}{nl}Fires a cannonball that spreads to target all enemies in front of you.	{#DD5500}{ol}[미사일:캐논]{/}{/}{nl}전방 다수의 적들을 대상으로 넓게 퍼지는 캐논을 발사해 공격합니다.	
SKILL_20180327_001341	Cannon Barrage	캐논 배라지	
SKILL_20180327_001342	{#DD5500}{ol}[Missile: Cannon]{/}{/}{nl}Repeatedly fire your cannon at the selected target.	{#DD5500}{ol}[미사일:캐논]{/}{/}{nl}지정된 적에게 캐논포를 연속적으로 발사해 공격합니다.	
SKILL_20180327_001343	煙幕彈	연막탄	
SKILL_20180327_001344	Throw a smoke grenade at a selected area and blind them. Also, the enemies within its range receive additional damage from cannon attacks and hidden enemies get detected.	지정된 범위에 연막탄을 발사하여 범위 내의 적에게 실명 효과를 부여합니다. 또한 연막탄 범위 안에 있는 적은 캐논 공격에 추가 피해를 입고 숨어 있는 적을 드러냅니다.	
SKILL_20180327_001345	Smoke Grenade Duração: #{CaptionTime}# segundos{nl}Taxa de Ataque em Área: #{SkillSR}#	연막탄 지속시간 #{CaptionTime}#초{nl}광역 공격 비율 #{SkillSR}#	
SKILL_20180327_001346	Bazooka	바주카	
SKILL_20180327_001347	Prepares cannon attack to enhance focus. Uses cannon attack as basic attack, which does not affect enemies that are too near. In the Bazooka state, increases basic Cannoneer skill range by 2 times.	집중력을 높이기 위해 앉은채로 캐논 공격 준비를 합니다. 기본공격으로 캐논 공격을 하는 대신, 가까이 있는 적을 공격하지 못합니다. 바주카 상태에서는 캐노니어 스킬의 기본 광역 공격 비율이 2배 증가합니다.	
SKILL_20180327_001348	Additional Damage: #{CaptionRatio}#%{nl}Cannon Attack Range: +#{CaptionRatio2}#{nl}	추가 대미지 #{CaptionRatio}#%{nl}캐논 공격 사정거리 #{CaptionRatio2}# 증가{nl}	
SKILL_20180327_001349	Sweeping Cannon	스위핑 캐논	
SKILL_20180327_001350	{#DD5500}{ol}[Missile: Cannon]{/}{/}{nl}Create a turret in front of you. You can assemble your cannon with your turret to damage a wide range of enemies.	{#DD5500}{ol}[미사일:캐논]{/}{/}{nl}전방에 포대를 생성합니다. 생성된 포대와 자신이 가진 캐논을 조립하여 전방 넓은 범위의 적들에게 피해를 줍니다.	
SKILL_20180327_001351	Covering Fire	커버링파이어	
SKILL_20180327_001352	{#DD5500}{ol}[Missile: Gun]{/}{/}{nl}Attack multiple enemies by firing at a targeted area.	{#DD5500}{ol}[미사일:총]{/}{/}{nl}지정된 지역의 주변에 총을 난사하여 다수의 적들을 공격합니다.	
SKILL_20180327_001353	Attack: #{SkillFactor}#% x 11	공격력 #{SkillFactor}#% x 11회	
SKILL_20180327_001354	Headshot	헤드샷	
SKILL_20180327_001355	{#DD5500}{ol}[Missile: Gun]{/}{/}{nl}Aim accurately at the head of an enemy to attack. The attacked enemy will have its INT and SPR temporarily reduced and be afflicted with Bleeding for 10 seconds.	{#DD5500}{ol}[미사일:총]{/}{/}{nl}적의 머리를 정확히 조준 사격하여 공격합니다. 이 공격에 당한 적은 일시적으로 지능과 정신력이 감소되고, 10초 동안 출혈을 일으킵니다.	
SKILL_20180327_001356	Attack: #{SkillFactor}#%{nl}Reduces #{CaptionRatio2}# INT and SPR	공격력 #{SkillFactor}#%{nl}지능, 정신 #{CaptionRatio2}# 감소	
SKILL_20180327_001357	Snipe	스나이프	
SKILL_20180327_001358	{#DD5500}{ol}[Missile: Gun]{/}{/}{nl}Aim and fire at a far away enemy. The usual range of fire is increased and heavily damages a single enemy. Attacking a bleeding enemy will deal additional damage.	{#DD5500}{ol}[미사일:총]{/}{/}{nl}멀리 떨어진 적을 조준하여 사격합니다. 사격 가능 한계거리가 평소보다 확장되며 하나의 적을 대상으로 강한 피해를 입힙니다. 출혈 상태의 적을 공격하면 추가 대미지를 줍니다.	
SKILL_20180327_001359	Attack #{SkillFactor}#%{nl}	공격력 #{SkillFactor}#%{nl}	
SKILL_20180327_001360	Penetration Shot	페네트레이션 샷	
SKILL_20180327_001361	{#DD5500}{ol}[Missile: Gun]{/}{/}{nl}Fire continuously in a straight line in front of you until the maximum range of fire. The attacked enemies might be pushed back.	{#DD5500}{ol}[미사일:총]{/}{/}{nl}자신의 바로 앞부터 사정거리까지 직선으로 길게 연속 사격합니다. 공격당한 적은 약간 밀려날 수 있습니다.	
SKILL_20180327_001362	Butt Stroke	버트스트로크	
SKILL_20180327_001363	{#DD5500}{ol}[Physical] - [Strike]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}Attack Speed]{/}{/}{nl}Use the butt of the gun to attack an enemy in close distance.	{#DD5500}{ol}[물리] - [때리기]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}공격속도]{/}{/}{nl}장총의 개머리판을 이용해 근접한 적을 타격합니다.	
SKILL_20180327_001364	Bayonet Thrust	바요넷 쓰러스트	
SKILL_20180327_001365	{#DD5500}{ol}[Physical] - [Pierce]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}Attack Speed]{/}{/}{nl}Stab an enemy by using the bayonet equipped to the rifle. The stabbed has a chance of being pushed back.	{#DD5500}{ol}[물리] - [찌르기]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}공격속도]{/}{/}{nl}장총의 총신에 장착한 바요넷으로 근접한 적을 찔러 공격합니다. 공격당한 적은 밀려날 수 있습니다.	
SKILL_20180327_001366	Volleyfire	발리파이어	
SKILL_20180327_001367	{#DD5500}{ol}[Missile: Gun]{/}{/}{nl}Repeatedly fires at the enemy.	{#DD5500}{ol}[미사일:총]{/}{/}{nl}적에게 연속 사격하여 피해를 줍니다.	
SKILL_20180327_001368	Attack: #{SkillFactor}#% x4{nl}Number of targets: 8	공격력 #{SkillFactor}#% x 4회{nl}공격 대상 수 8	
SKILL_20180327_001369	Birdfall	버드폴	
SKILL_20180327_001370	{#DD5500}{ol}[Missile: Gun]{/}{/}{nl}Aim your shot against flying type enemies. The flying target gets additional damage and stunned but the attack is weaker against ground type enemies.	{#DD5500}{ol}[미사일:총]{/}{/}{nl}공중형 적에게 치명적인 피해를 입히기 위한 조준 사격을 합니다. 이 공격에 당한 공중형 적은 추가 피해를 입고 스턴에 걸리지만, 지상형 적에게는 피해량이 줄어듭니다.	
SKILL_20180327_001371	Attack: #{SkillFactor}#%{nl}Knocks down targets using Hanging Shot or Levitation{nl}Stuns and Deals Additional Damage to Flying Type Enemies	공격력 #{SkillFactor}#%{nl}행잉샷, 레비테이션 중인 적 떨어뜨림{nl}공중형 적에게 추가대미지{nl}공중형 적에게 스턴	
SKILL_20180327_001372	Sniper's Serenity	스나이퍼즈 세레니티	
SKILL_20180327_001373	{#DD5500}{ol}[Missile: Gun]{/}{/}{nl}Increase your minimum attack gradually. The longer you charge, the more your attack increases. Your movement speed is decreased and you cannot shoot while moving. The duration of the buff decreases by 1 second when hit by an enemy. Full charge time cannot be lower than 0.4 seg.	{#DD5500}{ol}[미사일:총]{/}{/}{nl}저격 자세를 취하며 각오를 다집니다. 자신의 최소 공격력이 점차 증가하고, 저격 자세를 오래 유지할수록 증가하는 최소 공격력 또한 증가합니다. 이동속도가 느려지고 이동하면서 기본 공격을 사용할 수 없게 되며 적에게 피격 시 버프의 지속시간이 1초씩 감소합니다. 챠지 시간은 0.4초 미만으로 감소하지 않습니다.	
SKILL_20180327_001374	Full Charge Time: #{CaptionRatio}# seg{nl}Duração: 30 seg{nl}Equals maximum attack power when fully charged{nl}Critical damage +50% when fully charged{nl}Movement speed fixed to 10	풀 챠지 시간 #{CaptionRatio}#초{nl}지속시간 30초{nl}풀 챠지시 최대 공격력과 동일해짐{nl}풀 챠지시 치명타 대미지 50% 증가{nl}이동속도 10 고정	
SKILL_20180327_001375	Prime and Load	프라임 앤드 로드	
SKILL_20180327_001376	Reinicia o cooldown de certas habilidades de ataque de Musketeer. O cooldown desta habilidade aumenta conforme as habilidades reiniciadas. [Prime and Load] não recebe o seu próprio efeito de redução.	머스킷티어의 일부 공격 스킬의 재사용 대기시간이 초기화 됩니다. 초기화한 스킬에 따라 프라임 앤드 로드의 재사용 대기시간이 증가합니다. 프라임 앤드 로드는 스킬의 재사용 대기시간을 감소시키는 효과가 적용되지 않습니다.	
SKILL_20180327_001377	Additional cooldown per skill{nl}Covering Fire +5 seg{nl}Penetration Shot +5 seg{nl}Volleyfire +5 seg{nl}Headshot +10 seg{nl}Birdfall +10 seg{nl}Snipe +10 seg	적용 스킬별 추가 재사용 대기시간{nl}커버링파이어 +5초{nl}페네트레이션 샷 +5초{nl}발리파이어 +5초{nl}헤드샷 +10초{nl}버드폴 +10초{nl}스나이프 +10초	
SKILL_20180327_001378	Grooving Muzzle	그루빙 머즐	
SKILL_20180327_001379	Enhances your musket's steel wire to increase its accuracy and penetration. While active, Grooving Muzzle provides a chance to make basic attacks critically hit and to change them into consecutive hits.	머스킷의 강선을 강화하여 머스킷 사용 시 명중과 관통력이 상승합니다.{nl}그루빙 머즐 상태에서 기본 공격 시 일정 확률로 기본 공격이 연타로 적용되며 무조건 치명타가 발생합니다.	
SKILL_20180327_001380	Accuracy +100{nl}Ignore 15% of enemy defense{nl}30% chance of 3 consecutive hits{nl}100% chance of critical attack on the 3 consecutive hits{nl}Duração: #{CaptionTime}# seg	명중 100 증가{nl}적의 방어 15% 무시{nl}기본 공격 3연타 발동 확률 30%{nl}기본 공격 3연타 발동 시 치명타 확률 100%{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_001381	Skarphuggning	스칼푸그닝	
SKILL_20180327_001382	{#DD5500}{ol}[Physical] - [Slash]{/}{/}{nl}Aim at the upper part of the enemy and slash.	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}적의 상단을 노려 신속하게 베기 공격을 합니다.	
SKILL_20180327_001383	Attack: #{SkillFactor}#% x 4{nl}Taxa de Ataque em Área: #{SkillSR}#{nl}Able to use while riding	공격력 #{SkillFactor}#% x 4회{nl}광역 공격 비율 #{SkillSR}#{nl}탑승 상태에서 사용 가능	
SKILL_20180327_001384	Hakka Palle	하카 펠레	
SKILL_20180327_001385	Shout and assume an attacking stance. Increases basic attack speed and the chance of avoiding melee attacks while riding a companion. Reduces Hackapell skill SP and stamina consumption.	함성을 통해 공격 태세를 갖춥니다. 컴패니언 탑승 상태에서 기본 공격 속도와 근접 공격을 회피할 확률이 증가하고, 하카펠 스킬의 SP소모와 스태미나 소모가 감소합니다.	
SKILL_20180327_001386	Attack Speed: +#{CaptionRatio}#{nl}Melee Attack Evasion Rate: +#{CaptionRatio2}#%{nl}Hackapell Skill SP Consumption: -#{CaptionRatio3}#%{nl}Stamina Consumption: -30%{nl}Duração: #{CaptionTime}# segundos{nl}Able to use while riding	기본 공격 속도 #{CaptionRatio}# 증가{nl}근접 공격 회피율 #{CaptionRatio2}#% 증가{nl}하카펠 스킬의 SP소모 #{CaptionRatio3}#% 감소{nl}스태미나 소모 30% 감소{nl}지속시간 #{CaptionTime}#초{nl}탑승 상태에서 사용 가능	
SKILL_20180327_001387	Bombardment Orders	포격 명령	
SKILL_20180327_001388	{#DD5500}{ol}[Missile: Bow]{/}{/}{nl}Order a bombardment strike upon a selected area. Enemies within its AoE gets continuous damage per each strike.	{#DD5500}{ol}[미사일:활]{/}{/}{nl}해당 지점에 포격 명령을 내려 화력을 지원받습니다. 범위 내의 적들은 떨어지는 화살과 총알에 맞을때 마다 피해를 받습니다.	
SKILL_20180327_001389	Attack #{SkillFactor}#%{nl}Bombardment Duration #{CaptionTime}# segundos{nl}Able to use while riding	공격력 #{SkillFactor}#%{nl}포격 유지시간 #{CaptionTime}#초{nl}탑승 상태에서 사용 가능	
SKILL_20180327_001390	Hackapell Charge	하카펠 차지	
SKILL_20180327_001391	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Order your companion to get into an offensive charging position. Cause damage to the nearby enemies while moving.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}컴패니언에게 돌진 자세를 취하게 명령을 내립니다. 이동중일 때 주변에 있는 적에게 피해를 줍니다.	
SKILL_20180327_001392	Attack #{SkillFactor}#%{nl}Duration #{CaptionTime}# segundos{nl}Able to use while riding	공격력 #{SkillFactor}#%{nl}지속시간 #{CaptionTime}#초{nl}탑승 상태에서 사용 가능	
SKILL_20180327_001393	Leg Shot	다리 쏘기	
SKILL_20180327_001394	{#DD5500}{ol}[Missile: Gun]{/}{/}{nl}Aim at the target's leg and fire your pistol. The target's movement speed gets momentarily reduced.	{#DD5500}{ol}[미사일:총]{/}{/}{nl}적의 다리를 겨눠 권총을 발사합니다. 공격당한 적은 이동속도가 일시적으로 감소합니다.	
SKILL_20180327_001395	Attack: #{SkillFactor}#%{nl}Enemy Movement Speed -#{CaptionRatio2}#% for 7 seconds{nl}Able to use while riding	공격력 #{SkillFactor}#%{nl}7초간 적 이동속도 #{CaptionRatio2}#% 감소{nl}탑승 상태에서 사용 가능	
SKILL_20180327_001396	Cavalry Charge	카발리 챠지	
SKILL_20180327_001397	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Charge forward and deals damage to enemies coming in contact. Enemies struck by Cavalry Charge become more vulnerable to critical attacks and their critical resistance is reduced.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}전방 돌진으로 적들과 충돌하여 피해를 입힙니다. 카발리 챠지에 피해입은 적은 일시적으로 치명타에 취약해져, 피해입은 공격이 치명타가 될 확률이 증가합니다.	
SKILL_20180327_001398	Storm Bolt	스톰 볼트	
SKILL_20180327_001399	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Push your sword in with great force to attack. The target receives additional damage from Skarphuggning and has a chance to bleed for 10 seconds.	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}강한 힘으로 빠르게 검을 찔러넣어 적을 공격합니다. 공격당한 적은 스칼푸그닝 스킬의 추가 피해를 받게 되고 일정 확률로 10초 동안 출혈을 일으킵니다.	
SKILL_20180327_001400	Attack: #{SkillFactor}#% x3{nl}Duração do Debuff: #{CaptionTime}# segundos{nl}[Bleeding] Chance: 30%{nl}Able to Use while Riding	공격력 #{SkillFactor}#% x 3회{nl}상태이상 지속시간 #{CaptionTime}#초{nl}출혈 확률 30%{nl}탑승 상태에서 사용 가능	
SKILL_20180327_001401	Grind Cutter	그라인드 커터	
SKILL_20180327_001402	{#DD5500}{ol}[Physical] - [Slash]{/}{/}{nl}Cut down enemies before you continuously with a single-handed sword in your right hand.  	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}오른손에 든 한손 검으로 전방의 적을 연속해서 베어버립니다.	
SKILL_20180327_001403	Attack: #{SkillFactor}#% x 5{nl}Taxa de Ataque em Área: #{SkillSR}#{nl}Able to use while riding	공격력 #{SkillFactor}#% x 5회{nl}광역 공격 비율 #{SkillSR}#{nl}탑승 상태에서 사용 가능	
SKILL_20180327_001404	Spread Shot	스프레드 샷	
SKILL_20180327_001405	{#DD5500}{ol}[Missile: Bow]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}Attack Speed]{/}{/}{nl}Fire five arrows at once to attack enemies within range.	{#DD5500}{ol}[미사일:활]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}공격속도]{/}{/}{nl}다섯개의 화살을 한번에 발사하여 범위내에 적들에게 피해를 줍니다.	
SKILL_20180327_001406	Targeted Arrow	호밍 애로우	
SKILL_20180327_001407	{#DD5500}{ol}[Missile: Bow]{/}{/}{nl}Aim straight at the enemy and fire multiple arrows.	{#DD5500}{ol}[미사일:활]{/}{/}{nl}적을 향해 정조준 하여 여러발의 화살을 발사하여, 적에게 명중시킵니다.	
SKILL_20180327_001408	Rapid Fire	속사	
SKILL_20180327_001409	{#DD5500}{ol}[Missile: Bow]{/}{/}{nl}Pull the quiver quickly and shoot.	{#DD5500}{ol}[미사일:활]{/}{/}{nl}최대한 빠른 속도로 활시위를 당겨 화살을 발사합니다.	
SKILL_20180327_001410	Attack: #{SkillAtkAdd}#	공격력 #{SkillAtkAdd}#	
SKILL_20180327_001411	{#DD5500}{ol}[Missile: Bow]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}Attack Speed]{/}{/}{nl}Shoot three exploding arrows. The explosion damages nearby enemies as well.	{#DD5500}{ol}[미사일:활]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}공격속도]{/}{/}{nl}전방에 폭발하는 화살 세개를 동시에 발사합니다. 화살은 맞은 적 위치에서 폭발하여 주변 적에게도 피해를 줍니다.	
SKILL_20180327_001412	{#DD5500}{ol}[Missile: Bow]{/}{/}{nl}Shoot multiple arrows up in the air and bring the storm of arrows. The targets in its AoE get damage per hit.	{#DD5500}{ol}[미사일:활]{/}{/}{nl}여러발의 화살을 공중을 향해 쏴서 지정된 범위에 잠시 동안 화살들이 비처럼 쏟아지게 합니다. 범위 내의 적들은 떨어지는 화살에 맞을때 마다 피해를 받습니다.	
SKILL_20180327_001413	Attack: #{SkillFactor}#% x No. of Hits{nl}Arrow Rain Duração: 3 seconds	공격력 #{SkillFactor}#% x 타격 횟수{nl}화살비 유지시간 3초	
SKILL_20180327_001414	Jump Shot	도약 사격	
SKILL_20180327_001415	{#DD5500}{ol}[Missile: Bow]{/}{/}{nl}Jump backward and fire arrows straight ahead, damaging enemies in a line.	{#DD5500}{ol}[미사일:활]{/}{/}{nl}후방으로 점프하며 전방 범위에 화살을 발사하여 일직선상에 있던 적들에게 피해를 줍니다.	
SKILL_20180327_001416	Attack: #{SkillFactor}#%{nl}Backward Movement Distance: #{CaptionRatio}#	공격력 #{SkillFactor}#%{nl}후방 이동거리 #{CaptionRatio}#	
SKILL_20180327_001417	Parthian Shaft	파르티안 샤프트	
SKILL_20180327_001418	{#DD5500}{ol}[Missile: Bow]{/}{/}{nl}Charge forward but attack the opposite direction. Only Able to Use while Moving	{#DD5500}{ol}[미사일:활]{/}{/}{nl}앞으로 전진하면서 후방을 향해 활 공격을 합니다. 이동 중일 때만 사용 가능합니다.	
SKILL_20180327_001419	Down Fall	다운 폴	
SKILL_20180327_001420	{#DD5500}{ol}[Missile: Bow]{/}{/}{nl}Fire several arrows into the air to rain down on a single designated enemy. You will stop inflicting damage if you and the enemy are too far from each other.	{#DD5500}{ol}[미사일:활]{/}{/}{nl}여러발의 화살을 공중을 향해 발사하여 지정된 단일 적에게 화살 공격을 퍼붓습니다. 자신과 적이 일정 거리 이상 멀어지게되면 공격받지 않습니다.	
SKILL_20180327_001421	Identify	감정	
SKILL_20180327_001422	Set up a shop to identify unidentified items. The chances of obtaining more sockets, higher potential and the number of item options increase with the skill level.	미감정 아이템을 감정할 수 있는 상점을 개설합니다. 스킬 레벨이 높을수록 소켓과 포텐셜, 아이템 옵션의 옵션 수가 추가될 확률이 증가합니다.	
SKILL_20180327_001423	Increased chance of additional sockets{nl}Increased chance of additional potential{nl}Increased chance of additional item stats	추가 소켓 확률 증가{nl}추가 포텐셜 확률 증가{nl}아이템 옵션의 옵션 수 추가 확률 증가	
SKILL_20180327_001424	Overestimate	과대평가	
SKILL_20180327_001425	Increases the enhancement of your shield and sub-weapon, as well as that of nearby allies, according to the skill level.	자신과 주변 파티원의 방패 및 보조무기의 강화 수치를 스킬 레벨만큼 증가시킵니다.	
SKILL_20180327_001426	Enhancement: + #{CaptionRatio}#{nl}Duração: #{CaptionRatio2}# segundos	강화 수치 #{CaptionRatio}#증가{nl}지속시간 #{CaptionRatio2}#초	
SKILL_20180327_001427	Forgery	모조품	
SKILL_20180327_001428	Cria uma exposição dos acessórios que você está usando. Os seus aliados poderão usar esta exposição para receber os efeitos destes acessórios.	감정사 자신이 착용한 악세서리의 모조품을 전시합니다. 감정사 자신을 제외한 파티원들은 전시된 모조품을 이용할 수 있습니다. 모조품을 이용할 경우, 자신의 악세서리 대신 모조품의 효과가 적용됩니다.	
SKILL_20180327_001429	Duração de [Forgery]: #{CaptionRatio}# segundos{nl}Duração do efeito: #{CaptionRatio2}# segundos	모조품 테이블 지속시간 #{CaptionRatio}#초{nl}버프 지속시간 #{CaptionRatio2}#초	
SKILL_20180327_001430	Devaluation	평가절하	
SKILL_20180327_001431	Provides a chance to turn all enemy equipment enhancement and transcendence values to 0. When the enemy is a monster, reduces physical and magic attack and defense. This amount is reduced in half if the enemy is a boss monster.	일정 확률로 전방의 적 캐릭터 장비의 강화 수치와 초월 수치를 0으로 변경합니다. 적 대상이 몬스터일 경우 물리, 마법 공격력과 물리, 마법 방어력이 감소합니다. 보스몬스터일 경우 감소하는 수치가 절반으로 줄어듭니다.	
SKILL_20180327_001432	Chance of Devaluation: #{CaptionTime}#%{nl}Alvos: #{CaptionRatio}#{nl}Monster Physical/Magic Attack Decrease: #{CaptionRatio2}#%{nl}Monster Physical/Magic Defense Decrease: #{CaptionRatio3}#%{nl}Monster Duração: 120 seconds{nl}Character Duração: 20 seconds	평가절하 확률 #{CaptionTime}#%{nl}적용 대상 #{CaptionRatio}#{nl}몬스터 물리, 마법 공격력 #{CaptionRatio2}#% 감소{nl}몬스터 물리, 마법 방어력 #{CaptionRatio3}#% 감소{nl}몬스터 대상 지속시간 120초{nl}캐릭터 대상 지속시간 20초	
SKILL_20180327_001433	Blindside	약점공격	
SKILL_20180327_001434	{#DD5500}{ol}[Missile: Bow]{/}{/}{nl}Use a magnifying glass to find the enemy's blind side and attack. The attack will apply as critical attack. Foes around the attacked enemy will have higher chances of being hit by critical attacks.{nl}(The effects of Blindside and the character's Taxa de Crítico apply separately.)	{#DD5500}{ol}[미사일:활]{/}{/}{nl}돋보기를 이용하여 적의 약점을 찾아 공격합니다. 이 공격은 무조건 치명타로 적중합니다. 피격된 적을 기준으로 일정 범위 안의 대상은 치명타에 피격될 확률이 증가합니다.{nl}(약점공격의 효과는 캐릭터의 치명타 발생과는 별도로 적용됩니다.)	
SKILL_20180327_001435	Attack: #{SkillFactor}#%{nl}Increases Minimum Critical Chance{nl}Duração: #{CaptionRatio}# segundos	공격력 #{SkillFactor}#%{nl}최소 치명타 확률 증가{nl}지속시간 #{CaptionRatio}#초	
SKILL_20180327_001436	Silver Bullet	실버불릿	
SKILL_20180327_001437	Todos os ataques usando Pistola são melhorados, alterando-os para o elemento Divino.	권총을 사용하는 모든 공격이 신성 속성으로 변경되는 버프를 자신에게 부여합니다.	
SKILL_20180327_001438	Duração: #{CaptionTime}# segundos{nl}Able to use while riding	지속시간 #{CaptionTime}#초{nl}탑승 상태에서 사용 가능	
SKILL_20180327_001439	Tase	테이즈	
SKILL_20180327_001440	{#DD5500}{ol}[Missile: Gun] - [Lightning]{/}{/}{nl}Fire an electric bullet into the enemy's body, causing the target to take additional Lightning property damage when damaged.	{#DD5500}{ol}[미사일:총] - [전기]{/}{/}{nl}전기가 통하는 탄을 적의 몸에 박아 넣어 대상이 대미지를 입을 때마다 전기 속성 추가 대미지를 입습니다.	
SKILL_20180327_001441	Attack: #{SkillFactor}#%{nl}Duração: #{CaptionTime}# segundos{nl}Applies 10 times{nl}Able to use while riding	공격력 #{SkillFactor}#%{nl}지속시간 #{CaptionTime}#초{nl}지속 횟수 10 회{nl}탑승 상태에서 사용 가능	
SKILL_20180327_001442	Napalm Bullet	소이탄	
SKILL_20180327_001443	{#DD5500}{ol}[Missile:Gun] - [Fire]{/}{/}{nl}Explodes and inflicts fire damage to enemies in front.	{#DD5500}{ol}[미사일:총] - [불]{/}{/}{nl}폭발하며 전방의 적에게 불 속성 피해를 줍니다.	
SKILL_20180327_001444	Full Metal Jacket	풀 메탈 자켓	
SKILL_20180327_001445	{#DD5500}{ol}[Missile: Gun]{/}{/}{nl}Fire a powerful bullet that ignores half of an enemy's defenses.	{#DD5500}{ol}[미사일:총]{/}{/}{nl}적의 방어력을 절반 무시하는 강력한 총알 한 발을 날립니다.	
SKILL_20180327_001446	Double Gun Stance	더블 건 스탠스	
SKILL_20180327_001447	Take the weapon in your right hand and place it in your left, assuming a stance. Your basic attack changes and you are able to use Bullet Marker skills.	왼손에 든 무기를 집어넣고 오른손에 든 무기를 양손에 드는 스탠스로 전환합니다. 불릿마커 스킬을 사용할 수 있고, 기본공격이 변경됩니다.	
SKILL_20180327_001448	Basic Attack Damage: #{CaptionRatio}#%{nl}Basic Attack Changed{nl}Maximum Level: 5 	기본 공격 공격력 #{CaptionRatio}#%{nl}기본 공격이 변경됨{nl}5레벨 마스터	
SKILL_20180327_001449	{#DD5500}{ol}[Missile: Gun]{/}{/}{nl}Attack enemies in front of you using a series of attacks with a pistol in both hands.	{#DD5500}{ol}[미사일:총]{/}{/}{nl}양손에 든 권총으로 전방의 적에게 연속 공격을 가합니다.	
SKILL_20180327_001450	Attack: #{SkillFactor}#% x 7{nl}Taxa de Ataque em Área: #{SkillSR}#{nl}Can be used after activating Double Gun Stance	공격력 #{SkillFactor}#% x 7회{nl}광역 공격 비율 #{SkillSR}#{nl}더블 건 스탠스 전환 후 사용 가능	
SKILL_20180327_001451	Bloody Overdrive	블러디 오버드라이브	
