QUEST_LV_0500_20190419_000001	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.	케도라 상단원 이네타
QUEST_LV_0500_20210115_000362	준비되셨군요.{nl}렘파라사 연못에서 기다리겠습니다.	여신 라다
QUEST_LV_0500_20210115_000363	오셨군요.{nl}당신과 제가 가진 책임에 대해 말씀드리자면..	여신 라다
QUEST_LV_0500_20210115_000364	이 일대에서 벌어진 과거의 크루비나 사건 속에서 저는 마군주 자우라에게 붙잡혔고,{nl}그때 제 생명력으로 강력한 크루비나가 만들어졌습니다.{nl}그리고 당신은 지난 여정에서 주시자가 그 일부를 가지고 있는 걸 보았죠.	여신 라다
QUEST_LV_0500_20210115_000365	불합리한 이야기처럼 들릴 수 있으나,{nl}이 사태의 원흉을 똑바로 볼 수 있는 건 우리뿐입니다.	여신 라다
QUEST_LV_0500_20210115_000366	그러나 이 사태가 확실히 주시자의 행보인지는 조금 더 확신이 필요합니다.{nl}주변의 마족들로부터 도움이 될 정보를 얻어와 주시겠습니까?	여신 라다
QUEST_LV_0500_20210115_000367	더 자세한 이야기는 사태를 파악하며 말씀드리겠습니다.	여신 라다
QUEST_LV_0500_20210115_000368	주변의 마족들로부터 주시자와 연관이 있을만한 증거를 찾아주세요.	여신 라다
QUEST_LV_0500_20210115_000369	그 사악한 마력을 품은 광석을 마족들이 가지고 있었다는 말입니까?	여신 라다
QUEST_LV_0500_20210115_000370	당신은 분명 주시자가 혼돈을 통해 이 광석을 취하는 걸 본 적이 있으시죠.	여신 라다
QUEST_LV_0500_20210115_000371	그러나 혼돈에서 나와야 할 이 광석이 어떻게 마족들이 가지고 있는 건지..	여신 라다
QUEST_LV_0500_20210115_000372	아무래도 마족들이 이 광석을 어디서 얻었는지 찾아야겠습니다.{nl}마족들의 기억을 통해 찾을 수 있을 겁니다.	여신 라다
QUEST_LV_0500_20210115_000373	란돌루마 쉼터라면 큰 이목을 끌지 않을 겁니다.	여신 라다
QUEST_LV_0500_20210115_000374	충분하지는 않았으나 마족들의 기억을 통해 분명히 주시자의 흔적을 보았습니다.{nl}그러나 아직 확신을 얻기에는 모자라는군요.	여신 라다
QUEST_LV_0500_20210115_000375	여전히 광석의 정체는 분명하지 않습니다.	여신 라다
QUEST_LV_0500_20210115_000376	다시 한번 시도해보죠.{nl}마족들의 영혼을 신성력으로 정화하면 더 많은 기억을 읽어낼 수 있을 겁니다.	여신 라다
QUEST_LV_0500_20210115_000377	제 권능을 조금 나누어 드리겠습니다.{nl}아다타 가도의 마족들에게 제가 드린 축복을 사용하면 마족의 영혼이 정화되어 저에게 인도될 겁니다.	여신 라다
QUEST_LV_0500_20210115_000378	저는 먼저 아다타 가도로 가서 힘을 개방해두겠습니다.	여신 라다
QUEST_LV_0500_20210115_000379	다행히 광석의 정체를 알아냈습니다.{nl}광석의 이름은 머티니스..{nl}주시자는 이 사악한 광석을 두고 그렇게 이름 불렀습니다.	여신 라다
QUEST_LV_0500_20210115_000380	계시자여,{nl}주시자가 머티니스를 통해 세계를..{nl}정확하게는 신수를 파괴하려 하고 있습니다.	여신 라다
QUEST_LV_0500_20210115_000381	머티니스는 벨로브에 견줄 수 있는 마력원입니다.{nl}길티네는 벨로브의 공급을 중단하여 신수를 폭주 시켰습니다.	여신 라다
QUEST_LV_0500_20210115_000382	반대로..{nl}주시자가 이 머티니스를 신수에 끊임없이 공급한다면 세계는 신수의 뿌리와 함께 통째로 썩어 끔찍한 세계로 변해버릴 겁니다.{nl}머티니스의 양이 충분하다면 말이죠.	여신 라다
QUEST_LV_0500_20210115_000383	마족의 기억 속 말코스 벌목지에서 심상치 않은 균열을 보았습니다.{nl}머티니스는 그 균열에서 나왔을 겁니다.	여신 라다
QUEST_LV_0500_20210115_000384	저는 덧댄다리 숲으로 가는 길을 확인하겠습니다.{nl}당신은 말코스 벌목지를 확인해주세요.{nl}덧댄다리 숲에서 뵙겠습니다.	여신 라다
QUEST_LV_0500_20210115_000385	기다리고 있었습니다.	여신 라다
QUEST_LV_0500_20210115_000386	이게 정말 마족의 이마에 뿔처럼 나있었다는 말인가요?	여신 라다
QUEST_LV_0500_20210115_000387	이건 크루비나 입니다.	여신 라다
QUEST_LV_0500_20210115_000388	그런데 조금은 다르군요.{nl}이게 몸을 뚫고 솟아날 수 있다고 생각하시나요?{nl}마군주 자우라가 저를 통해 만들어낸 크루비나도 장치의 도움을 받아서 만들어냈습니다.	여신 라다
QUEST_LV_0500_20210115_000389	크루비나는 인간을 마족으로 만들기도 합니다.	여신 라다
QUEST_LV_0500_20210115_000390	당신도 크루비나를 사용하고 변해 가던 한 아이를 본 적이 있으시죠.	여신 라다
QUEST_LV_0500_20210115_000391	이 크루비나에는 제 생명력도 조금 느껴집니다.{nl}아마도 주시자가 저를 통해 만들어낸 크루비나로 인간을 마족으로 만들었을 겁니다.{nl}제가 이 사태에 대해 책임을 져야 할 이유죠.	여신 라다
QUEST_LV_0500_20210115_000392	오르샤의 주민들도 모두 마족이 될지도 모르는 상황입니다.{nl}당신은 오르샤를 구해야 하니 지금은 당신과 제가 가야 할 방향이 같습니다.	여신 라다
QUEST_LV_0500_20210115_000393	우리는 방향이 같을 뿐, 언제까지나 각자의 책임을 위해 움직이고 있다는 사실을 명심해야 합니다.	여신 라다
QUEST_LV_0500_20210115_000394	제가 당신을 돕게 된다면 아우슈리네님께서 가만히 있지는 않을 겁니다.	여신 라다
QUEST_LV_0500_20210115_000395	여기는 방금 당신이 지나온 렘파라사 연못과 연결되는 통로입니다.{nl}머티니스 채굴과 오르샤를 공격하기 위해 집결한 마족들이 덧댄다리 숲을 장악하고 있습니다.	여신 라다
QUEST_LV_0500_20210115_000396	저는 이 마족들이 채굴하고 있는 머티니스를 회수할 필요가 있습니다.{nl}당신은 무슨 일을 하실 거죠?	여신 라다
QUEST_LV_0500_20210115_000397	잘 이해하고 계시는군요.{nl}그럼 다시 뵙겠습니다.	여신 라다
QUEST_LV_0500_20210115_000398	당신이 마족을 상대하고 있는 사이 미처 피하지 못했던 오르샤의 주민들이 무사히 마을 안으로 들어가는 걸 봤습니다.	여신 라다
QUEST_LV_0500_20210115_000399	당신의 임무를 훌륭히 수행하고 있군요.{nl}저 역시 머티니스를 일부 회수할 수 있었습니다.	여신 라다
QUEST_LV_0500_20210115_000400	저는 머티니스 회수를 계속하기 위해 덧댄다리 숲의 더 깊은 곳으로 갈 생각입니다.	여신 라다
QUEST_LV_0500_20210115_000401	마침 여기서 가까운 지베니 대로에서 마족들이 머티니스를 채굴하던 균열이 있습니다.{nl}그곳의 균열은 당신이 봤던 렘파라사 연못의 균열과 달리 굳어있지 않으니 조사할 가치도 있습니다.	여신 라다
QUEST_LV_0500_20210115_000402	여기서 덧댄다리 숲으로 들어가는 유일한 길이고, 마족들이 점거하고있습니다.	여신 라다
QUEST_LV_0500_20210115_000403	저도 마침 그 마력을 느끼고 여기서 멈춰섰습니다.{nl}틀림없이 주시자의 마력이군요.	여신 라다
QUEST_LV_0500_20210115_000404	추측이지만, 마족들이 머티니스를 채굴하기 위해서는 반드시 이 마력이 필요할 겁니다.{nl}다시 말해, 마력의 근원지를 찾아 파괴할 수만 있다면 머티니스 채굴을 막을 수 있습니다.	여신 라다
QUEST_LV_0500_20210115_000405	그렇게 된다면 주시자의 손에 머티니스가 들어가는 일을 막을 수 있겠군요.{nl}그리고 오르샤를 침공하기 위해 집결한 마족들에게도 적지 않은 피해를 줄 수 있습니다.	여신 라다
QUEST_LV_0500_20210115_000406	저는 마력의 근원지를 찾아보려고 합니다.{nl}당신처럼 날 수 없는 인간이 가기에는 어려운 절벽을 찾아볼 겁니다.	여신 라다
QUEST_LV_0500_20210115_000407	라다 여신이 일부로 축복을 흘려둔 것 같다{nl}축복을 이용해 모르꼬스 농장에서 마력의 근원지를 찾아보자	PC
QUEST_LV_0500_20210115_000408	마력의 근원지인 주시자의 검은 수정을 발견했다{nl}파괴할 수 있는지 확인해 보자	안내
QUEST_LV_0500_20210115_000409	라다 여신의 축복을 사용해볼까?	안내
QUEST_LV_0500_20210115_000410	균열 속의 액체가 여전히 끓고 있다	PC
QUEST_LV_0500_20210115_000411	균열을 조사하시겠습니까?	안내
QUEST_LV_0500_20210115_000412	균열로 스며드는 마력이 여전히 느껴진다{nl}아직 조사하지 않은 보난 숲길 방향으로 가서 주시자의 검은 수정을 찾아보자	PC
QUEST_LV_0500_20210115_000413	주시자의 검은 수정을 공격하시겠습니까?	안내
QUEST_LV_0500_20210115_000414	당신이 발견한 두 개의 검은 수정 외에도 많은 수정이 있었습니다.{nl}덧댄다리 숲에 있던 수정은 모두 파괴했습니다.	여신 라다
QUEST_LV_0500_20210115_000415	덧댄다리 숲의 머티니스 균열들은 굳었습니다.	여신 라다
QUEST_LV_0500_20210115_000416	그러나{nl}그동안 마족들이 채굴한 머티니스가 있을 텐데,{nl}여기서는 머티니스를 찾을 수 없었습니다.	여신 라다
QUEST_LV_0500_20210115_000417	그 머티니스들이 주시자의 손에 들어가서는 안 됩니다.{nl}저는 그 저장소를 찾아 머티니스를 회수해야 합니다.	여신 라다
QUEST_LV_0500_20210115_000418	계시자여,{nl}그대도 해야 할 일이 있습니다.	여신 라다
QUEST_LV_0500_20210115_000419	파우피스 나루에서 라다 여신을 찾으세요	PC
QUEST_LV_0500_20210115_000420	주시자를 쫓았으나, 이곳의 상황을 보고 계시자님을 기다리고 있었습니다.	여신 라다
QUEST_LV_0500_20210115_000421	눈치 채셨겠죠?{nl}오르샤를 침공한 건 주시자 뿐만이 아니라는 이야기입니다.{nl}방금 본 두개 세력의 마족들만 하더라도 주시자를 포함하여 세 개의 세력이 오르샤를 침공했군요.	여신 라다
QUEST_LV_0500_20210115_000422	하지만 모두 머티니스가 목표인 건 확실합니다.{nl}저들은 각각 마왕 카르타스의 마족과 마신 라가나의 휘하 마족들입니다.	여신 라다
QUEST_LV_0500_20210115_000423	그렇지만, 확신을 가질 수는 없습니다.{nl}특히나 마왕 카르타스가 마신인 라가나와 대적한다는 건 믿을 수가 없군요.	여신 라다
QUEST_LV_0500_20210115_000424	저들을 움직이는 다른 존재가 있을지도 모릅니다.	여신 라다
QUEST_LV_0500_20210115_000425	먼저, 마왕 카르타스의 부하들을 움직이는 진짜 상급자가 누구인지 확인해 둘 필요가 있겠군요.{nl}당신은 오르샤를 침공한 저 마족들을 어떻게 하시겠습니까?	여신 라다
QUEST_LV_0500_20210115_000426	묵묵히 이해해주셔서 감사합니다.	여신 라다
QUEST_LV_0500_20210115_000427	그럼 저 역시 머티니스를 노리는 존재들이 누구인지 찾아보겠습니다.	여신 라다
QUEST_LV_0500_20210115_000428	이 자리에서 다시 뵙겠습니다.	여신 라다
QUEST_LV_0500_20210115_000429	파슬랍 은거지에서 빈미디스를 처치하고 상급자의 징표를 획득하세요	PC
QUEST_LV_0500_20210115_000430	이건 바이가와 라가나의 증표..{nl}바이가의 증표를 카르타스의 마족들이 가지고 있었다는 말씀이신가요?	여신 라다
QUEST_LV_0500_20210115_000431	마왕 카르타스가 라가나에게 대항할 수 없겠지만..{nl}바이가라면 가능할지도 모릅니다.	여신 라다
QUEST_LV_0500_20210115_000432	마왕 바이가는 오랜 옛날부터 마신 바우바스와 긴밀한 협력을 이루고 있습니다.{nl}마신 바우바스는 길티네가 없는 지금으로서는 가장 강한 마족임이 틀림없습니다.	여신 라다
QUEST_LV_0500_20210115_000433	길티네가 사라진 세상이라는 게 새삼 실감이 나는군요.	여신 라다
QUEST_LV_0500_20210115_000434	바이가의 마족들은 확실히 머티니스를 노리고 있었습니다.{nl}라가나의 마족들은 이상하게도 머티니스 채굴을 방해하려고만 했지, 머티니스 자체를 노리는 정황은 없더군요.	여신 라다
QUEST_LV_0500_20210115_000435	아무튼 그들의 목적을 떠나 머티니스의 주인이 마족이 되는 건 여신에게든 인간에게든 좋을 수 없을 겁니다.{nl}서둘러 머티니스 저장소를 찾는게 좋겠습니다.	여신 라다
QUEST_LV_0500_20210115_000436	다만, 여기에 들어온 후로 사방에서 강력한 마력들이 휘몰아치고 있습니다.{nl}주시자의 검은 수정인지, 혹은 그에 버금갈 다른 존재인지는 확실하지 않습니다.	여신 라다
QUEST_LV_0500_20210115_000437	너는 라이마의 끄나풀이로군.	마왕 바이가
QUEST_LV_0500_20210115_000438	솔직하게 말하자면 놀라웠다.{nl}비록 라이마가 도왔다고는 하나, 인간 애송이가 길티네를 몰아넣었으니 재주라면 재주겠지.	마왕 바이가
QUEST_LV_0500_20210115_000439	내가 이곳에 온 이유가 궁금한가?	마왕 바이가
QUEST_LV_0500_20210115_000440	신수의 뿌리는 너같은 애송이가 신경쓸 물건이 아니다.	마왕 바이가
QUEST_LV_0500_20210115_000441	네 녀석이 알고 있는 세계는 실제 존재하는 세계의 티끌 만큼도 안 된다.{nl}고작 순간의 삶을 살다 죽을 필멸의 인간따위가 건방진 호기심을 가지고 있군.	마왕 바이가
QUEST_LV_0500_20210115_000442	신경꺼라.	마왕 바이가
QUEST_LV_0500_20210115_000443	바이가를 만나셨군요.{nl}라가나를 쫓는 데 집중한 나머지 뒤늦게 바이가의 존재를 알아차렸습니다.	여신 라다
QUEST_LV_0500_20210115_000444	라가나는,{nl}숲 속에서 그녀를 쫓는 건 거의 불가능한 일이라 놓치고 말았습니다.	여신 라다
QUEST_LV_0500_20210115_000445	라가나와 바이가가 서로 대립하고 있는 건 확실하군요.{nl}그들의 제안은 궁극적으로 우리에게 이점인 것 처럼 보이겠지만,{nl}마족의 속내는 믿을 수 없습니다.{nl}그러니 어떤 유혹에도 결코 선뜻 받아들여서는 안 됩니다.	여신 라다
QUEST_LV_0500_20210115_000446	한 편으로는..{nl}지금 당장 주시자, 라가나, 바이가와 그 뒤의 바우바스까지 모두를 대적하기에는 위험합니다.	여신 라다
QUEST_LV_0500_20210115_000447	당신이 길티네와 싸웠을 때와는 달리,{nl}당신을 도울 수 있을 정도로 힘을 보존한 여신은 아우슈리네님 뿐..{nl}그러나 아우슈리네님께서는 이 일에 개입하시기를 원하지 않으신다는 걸 당신도 아실 겁니다.	여신 라다
QUEST_LV_0500_20210115_000448	방법은 있습니다.	여신 라다
QUEST_LV_0500_20210115_000449	주시자의 마족들이 채굴한 머티니스를 그들보다 먼저 찾아내 확보한다면,{nl}분명히 주도권을 쥘 수 있습니다.{nl}그러니 서둘러 머티니스의 저장소를 찾죠.	여신 라다
QUEST_LV_0500_20210115_000450	다만, 지금은 제가 라가나와의 싸움으로 힘을 많이 소모한 탓에 회복할 시간이 필요합니다.	여신 라다
QUEST_LV_0500_20210115_000451	그러시죠.{nl}회복하는데 오래 걸리지는 않을 겁니다.	여신 라다
QUEST_LV_0500_20210115_000452	여전히 우리는 각자의 책임을 위해 움직이고 있다는 걸 명심하세요.	여신 라다
QUEST_LV_0500_20210115_000453	그렇군요..{nl}갓베스 가도라면 숲의 안쪽으로 이어지는 길입니다.	여신 라다
QUEST_LV_0500_20210115_000454	갓베스 가도로 가 볼 필요가 있겠군요.	여신 라다
QUEST_LV_0500_20210115_000455	저는 아직 시간이 조금 더 필요합니다.	여신 라다
QUEST_LV_0500_20210115_000456	어차피 우리는 각자가 해야할 일을 하고 있을 뿐이니,{nl}계시자님 께서 먼저 가셔도 괜찮습니다.	여신 라다
QUEST_LV_0500_20210115_000457	알겠습니다.{nl}저도 회복되는대로 따라가겠습니다.	여신 라다
QUEST_LV_0500_20210115_000458	갓베스 가도에도 머티니스 균열이 있습니다.{nl}갓베스 가도로 먼저 가세요	여신 라다
QUEST_LV_0500_20210115_000459	저도 회복되는대로 따라가겠습니다.	여신 라다
QUEST_LV_0500_20210115_000460	수레 바퀴 자국의 방향이 이사우고티 숲을 향하고있다	PC
QUEST_LV_0500_20210115_000461	이쪽으로 오실 줄 알았습니다.{nl}이 앞으로 들어가는 깊은 숲에서 너무 많은 머티니스의 힘이 흘러나오고 있습니다.	여신 라다
QUEST_LV_0500_20210115_000462	분명 머티니스 저장소는 이 안쪽에 있을 겁니다.{nl}상황이 위급한 건 사실이지만,{nl}생각보다 일이 커지고 있으니 재정비를 위해 잠시 라이마의 성소로 돌아가는 게 좋겠습니다.	여신 라다
QUEST_LV_0500_20210115_000463	그럼,{nl}라이마의 성소에서 다시 뵙죠.	여신 라다
QUEST_LV_0500_20210115_000464	준비하세요..	뮬리아
QUEST_LV_0500_20210115_000465	재앙이 오고 있습니다..	뮬리아
QUEST_LV_0500_20210115_000466	인간들은 파멸할 거예요..	뮬리아
QUEST_LV_0500_20210115_000467	조심..	라이마
QUEST_LV_0500_20210115_000468	부디..{nl}조심..	라이마
QUEST_LV_0500_20210115_000469	당신이 가져가야할 게..{nl}괜찮으시다면..{nl}눈을 감아주세요..	라이마
QUEST_LV_0500_20210115_000470	조금 더 쉴 수 있으면 좋겠어요.	뮬리아
QUEST_LV_0500_20210115_000471	불길한 기운이 뿜어져 나오는 상자다.{nl}채굴한 머티니스를 보관 중인 것 같다.	안내
QUEST_LV_0500_20210115_000472	방금 발견한 저 상자 더미에 폭탄을 설치하자.	PC
QUEST_LV_0500_20210115_000473	{nl}무사히 폭탄을 설치한 것 같다.	PC
QUEST_LV_0500_20210115_000474	소거마스 집행자	
QUEST_LV_0500_20210115_000475	주시자님의 소중한 머티니스를 탐내는 도둑이 네 녀석인가?	소거마스 집행자
QUEST_LV_0500_20210115_000476	지금부터 도둑에 대한 사형을 집행하겠다!	소거마스 집행자
QUEST_LV_0500_20210115_000477	[왕국 재건단] 오르샤 담당인	
QUEST_LV_0500_20210115_000478	저희에 대한 소식을 들으셨다구요?{nl}마침 저희도 계시자님에 대한 소문을 들었습니다.	[왕국 재건단] 오르샤 담당인
QUEST_LV_0500_20210115_000479	저희는 왕국 재건단이라는 이름으로 뭉쳐있습니다.{nl}우리는 신수의 날로 인해 무너진 왕국과 세계를 다시 일으키기 위해 모였죠.	[왕국 재건단] 오르샤 담당인
QUEST_LV_0500_20210115_000480	사라진 여신들의 대답을 기다리기보다, 우리 인간들 스스로 왕국을 재건해야 합니다.	[왕국 재건단] 오르샤 담당인
QUEST_LV_0500_20210115_000481	아, 그러나 오해하진 마세요.{nl}우리도 역시 여신들에게 신앙심을 가진 사람들입니다.{nl}다만 지금 이 상황이 어쩌면 여신들께서 인간들이 스스로 더 강해지길 바라시기 때문일 수도 있죠.	[왕국 재건단] 오르샤 담당인
QUEST_LV_0500_20210115_000482	그래서 우리 왕국 재건단은 대륙은 물론 세계 곳곳으로 파견되어 현장의 문제를 돕는데 최선을 다하고 있습니다.	[왕국 재건단] 오르샤 담당인
QUEST_LV_0500_20210115_000483	계시자님의 이야기는 익히 들었습니다.{nl}계시자님께서 저희를 도와주신다면 큰 힘이 될 겁니다.	[왕국 재건단] 오르샤 담당인
QUEST_LV_0500_20210115_000484	각 현장에 파견되어 있는 왕국 재건단 단원들을 만나보세요.{nl}그들이 계시자님을 필요로 할 겁니다.	[왕국 재건단] 오르샤 담당인
QUEST_LV_0500_20210115_000485	[왕국 재건단] 오르샤 파견병	
QUEST_LV_0500_20210115_000486	계시자님께서 저희를 도와주신다면 반드시 상응하는 보답을 하겠습니다.{nl}계시자님의 영웅담은 세계 각지로 뻗어나가게 될 겁니다.	[왕국 재건단] 오르샤 파견병
QUEST_LV_0500_20210115_000487	[왕국 재건단] 오르샤 자원병	
QUEST_LV_0500_20210115_000488	신수의 날 이후로 비탄에 빠진 대륙을 다시 일으킬 수 있는 건 바로 우리 인간들의 결속력입니다.{nl}곧 우리 모두가 왕국을 일으키기 위해 싸울 겁니다.{nl}계시자님께서도 함께 하시죠.	[왕국 재건단] 오르샤 자원병
QUEST_LV_0500_20210115_000489	[왕국 재건단] 오르샤 조사원	
QUEST_LV_0500_20210115_000490	저희 왕국 재건단이 위기에 빠진 사람들을 도울 수 있도록 재난 현장을 지속적으로 조사 중 입니다.{nl}여기도 만만치 않게 엉망이군요.	[왕국 재건단] 오르샤 조사원
QUEST_LV_0500_20210115_000491	[왕국 재건단] 오르샤 의료지원병	
QUEST_LV_0500_20210115_000492	항상 최선을 다하고 있지만 죽어가는 병사들의 모습을 볼 때면 가슴이 아려오네요.{nl}부디 그들의 영혼이 아우슈리네 여신에게 돌아갈 수 있기를 바라고 있어요.	[왕국 재건단] 오르샤 의료지원병
QUEST_LV_0500_20210115_000493	[왕국 재건단] 오르샤 전령	
QUEST_LV_0500_20210115_000494	전투 지역에 병사들이 버려지지 않도록 본부와의 연락을 계속해야 합니다.{nl}그러나 마족들의 포위망을 뚫는 건 여간 쉬운일이 아니군요.	[왕국 재건단] 오르샤 전령
QUEST_LV_0500_20210115_000495	길티네가 남긴 것	
QUEST_LV_0500_20210115_000496	눈을 감는다	
QUEST_LV_0500_20210115_000497	눈을 감지 않는다	
QUEST_LV_0500_20210115_000498	위기에 빠진 오르샤	
QUEST_LV_0500_20210115_000499	오르샤를 돕겠다고 한다	
QUEST_LV_0500_20210115_000500	생각이 필요하다고 한다	
QUEST_LV_0500_20210115_000501	여신의 부름	
QUEST_LV_0500_20210115_000502	조사 개시(1)	
QUEST_LV_0500_20210115_000503	조금 더 시간이 필요하다고 한다	
QUEST_LV_0500_20210115_000504	조사 개시(2)	
QUEST_LV_0500_20210115_000505	란돌루마 쉼터에서 만나자고 한다	
QUEST_LV_0500_20210115_000506	조사 개시(3)	
QUEST_LV_0500_20210115_000507	아다타 가도로 향하겠다고 한다	
QUEST_LV_0500_20210115_000508	다른 일을 먼저 하고 오겠다고 한다	
QUEST_LV_0500_20210115_000509	그들의 목적은	
QUEST_LV_0500_20210115_000510	말코스 벌목지를 조사하겠다고 한다	
QUEST_LV_0500_20210115_000511	덧댄다리 숲의 채굴 시설	
QUEST_LV_0500_20210115_000512	오르샤의 회복이 우선이니 함께 싸우겠다고 한다	
QUEST_LV_0500_20210115_000513	더는 신들과 엮이고 싶지 않다고 한다	
QUEST_LV_0500_20210115_000514	오르샤를 수호하기 위해	
QUEST_LV_0500_20210115_000515	오르샤로 가는 마족들을 저지하겠다고 한다	
QUEST_LV_0500_20210115_000516	다른 곳의 일을 우선 처리하겠다고 한다	
QUEST_LV_0500_20210115_000517	균열 조사	
QUEST_LV_0500_20210115_000518	지베니 대로로 갈 참이었다고 한다	
QUEST_LV_0500_20210115_000519	다른 곳의 일을 먼저 해결하겠다고 한다	
QUEST_LV_0500_20210115_000520	마력의 근원지	
QUEST_LV_0500_20210115_000521	모르꼬스 농장으로 갈 생각이라고 한다	
QUEST_LV_0500_20210115_000522	지금은 재정비가 필요하다고 한다	
QUEST_LV_0500_20210115_000523	검은 수정 파괴	
QUEST_LV_0500_20210115_000524	라다 여신의 축복을 사용한다	
QUEST_LV_0500_20210115_000525	위험해 보이니 그만둔다	
QUEST_LV_0500_20210115_000526	또 다른 검은 수정	
QUEST_LV_0500_20210115_000527	균열을 조사한다	
QUEST_LV_0500_20210115_000528	지금은 다른 일을 한다	
QUEST_LV_0500_20210115_000529	마지막 검은 수정 파괴	
QUEST_LV_0500_20210115_000530	검은 수정을 공격한다	
QUEST_LV_0500_20210115_000531	위험하니 그만둔다	
QUEST_LV_0500_20210115_000532	주시자의 목적	
QUEST_LV_0500_20210115_000533	머티니스 저장소를 파괴하면 적에게 큰 타격을 줄 수 있다고 한다	
QUEST_LV_0500_20210115_000534	우선 재정비를 하겠다고 한다	
QUEST_LV_0500_20210115_000535	파우피스 나루를 점거한 세력들(1)	
QUEST_LV_0500_20210115_000536	파우피스 나루의 상황을 듣고 싶다고 한다	
QUEST_LV_0500_20210115_000537	보다 더 급한 일이 있다고 한다	
QUEST_LV_0500_20210115_000538	파우피스 나루를 점거한 세력들(2)	
QUEST_LV_0500_20210115_000539	오르샤를 공격한 마족들을 처치하겠다고 한다	
QUEST_LV_0500_20210115_000540	지금은 급히 가봐야 할 곳이 있다고 한다	
QUEST_LV_0500_20210115_000541	파우피스 나루를 점거한 세력들(3)	
QUEST_LV_0500_20210115_000542	라가나의 제안	
QUEST_LV_0500_20210115_000543	로혼사 절벽을 조사하러 가겠다고 한다	
QUEST_LV_0500_20210115_000544	쉬어야겠다고 한다	
QUEST_LV_0500_20210115_000545	바이가의 제안	
QUEST_LV_0500_20210115_000546	목적을 묻는다	
QUEST_LV_0500_20210115_000547	묵묵히 자리를 떠난다	
QUEST_LV_0500_20210115_000548	신수의 뿌리에 대해 묻는다	
QUEST_LV_0500_20210115_000549	머티니스의 행방(1)	
QUEST_LV_0500_20210115_000550	그동안 근처의 머티니스 균열을 조사하겠다고 한다	
QUEST_LV_0500_20210115_000551	마침 다른 일이 있으니 쉬고 있으라고 한다	
QUEST_LV_0500_20210115_000552	머티니스의 행방(2)	
QUEST_LV_0500_20210115_000553	먼저 갓베스 가도로 가겠다고 한다	
QUEST_LV_0500_20210115_000554	서두를 필요가 없다고 한다	
QUEST_LV_0500_20210115_000555	머티니스의 행방(3)	
QUEST_LV_0500_20210115_000556	좋은 의견이라고 한다	
QUEST_LV_0500_20210115_000557	좋지 않은 생각이라고 한다	
QUEST_LV_0500_20210115_000558	[주간] 섬멸 - 변이형 몬스터	
QUEST_LV_0500_20210115_000559	[주간] 섬멸 - 곤충, 악마, 식물형 몬스터	
QUEST_LV_0500_20210115_000560	[주간] 섬멸 - 야수형 몬스터	
QUEST_LV_0500_20210115_000561	[주간] 섬멸 - 대형 몬스터	
QUEST_LV_0500_20210115_000562	[주간] 섬멸 - 중형 몬스터	
QUEST_LV_0500_20210115_000563	[주간] 섬멸 - 소형 몬스터	
QUEST_LV_0500_20210115_000564	[주간] 섬멸 - 오르샤 정화	
QUEST_LV_0500_20210115_000565	[주간] 정복 - 베르니케 파편 던전	
QUEST_LV_0500_20210115_000566	[주간] 정복 - 어시스터 던전	
QUEST_LV_0500_20210115_000567	[주간] 정복 - 1인 레이드	
QUEST_LV_0500_20210115_000568	[주간] 정복 - 레전드 레이드	
QUEST_LV_0500_20210115_000569	[주간] 정복 - 주간 보스 레이드	
QUEST_LV_0500_20210115_000570	[주간] 선봉 - 협동전	
QUEST_LV_0500_20210115_000571	[주간] 선봉 - 레벨 던전	
QUEST_LV_0500_20210115_000572	[주간] 선봉 - 챌린지	
QUEST_LV_0500_20210115_000573	[주간] 선봉 - 분열 특이점	
QUEST_LV_0500_20210115_000574	[일일] 수복 - 렘파라사 연못	
QUEST_LV_0500_20210115_000575	[일일] 수복 - 덧댄다리 숲	
QUEST_LV_0500_20210115_000576	[일일] 수복 - 파우피스 나루	
QUEST_LV_0500_20210115_000577	[일일] 수복 - 이사우고티 숲	
QUEST_LV_0500_20210115_000578	[일일] 수복 - 키르티마스 숲	
QUEST_LV_0500_20210115_000579	[일일] 회수 - 렘파라사 연못	
QUEST_LV_0500_20210115_000580	[일일] 회수 - 덧댄다리 숲	
QUEST_LV_0500_20210115_000581	[일일] 회수 - 파우피스 나루	
QUEST_LV_0500_20210115_000582	[일일] 회수 - 이사우고티 숲	
QUEST_LV_0500_20210115_000583	[일일] 회수 - 키르티마스 숲	
QUEST_LV_0500_20210115_000584	[반복] 구원 - 세계 정화	
QUEST_LV_0500_20210115_000585	[반복] 구원 - 레전드 레이드	
QUEST_LV_0500_20210115_000586	[반복] 구원 - 챌린지	
QUEST_LV_0500_20210115_000587	사전 준비	
QUEST_LV_0500_20210115_000588	방법을 찾아서	
QUEST_LV_0500_20210115_000589	생각나는 사람이 있다고 한다.	
QUEST_LV_0500_20210115_000590	잘 모르겠다고 한다.	
QUEST_LV_0500_20210115_000591	머티니스 저장소	
QUEST_LV_0500_20210115_000592	이사우고티 숲으로 바로 출발하겠다고 한다.	
QUEST_LV_0500_20210115_000593	이이제이(1)	
QUEST_LV_0500_20210115_000594	잠시만 기다려달라고 한다.	
QUEST_LV_0500_20210115_000595	이이제이(2)	
