SKILL_20180327_000001	攻击	공격	
SKILL_20180327_004637	圣火：火属性抵抗	아우쿠라스: 불 속성 저항	
SKILL_20180327_004638	* [圣火]活化期间角色的{nl}    火属性扺抗力每特性等级增加14{nl}* SP消耗增加10%	* [아우쿠라스]가 활성화 되어 있는 동안 캐릭터의 불 속성{nl}    저항력이 특성 레벨당 14 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004639	暴击魔法阵：持续时间	잘챠이: 지속시간	
SKILL_20180327_004640	* [暴击魔法阵]的持续时间每特性等级增加3秒{nl}* SP消耗增加20%	* [잘챠이]의 지속시간이 특성 레벨당 3초씩 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004641	暴击魔法阵：魔法增幅	잘챠이: 마법 증폭	
SKILL_20180327_004642	* [暴击魔法阵]活化期间角色的魔法增幅{nl}    每特性等级增加12{nl}* SP消耗增加10%	* [잘챠이]가 활성화 되어 있는 동안 캐릭터의 마법 증폭이{nl}    특성 레벨당 12 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004643	神圣烙印：持续时间	디바인 스티그마: 지속시간	
SKILL_20180327_004644	* [神圣烙印]的效果持续时间每级特性增加6秒{nl}* 消耗SP增加20%	* [디바인 스티그마]의 효과 지속시간이 특성 레벨당 6초씩 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004645	祈祷：范围增加	멜스티스: 범위 증가	
SKILL_20180327_004646	* [祈祷]套用范围增加至80{nl}* SP消耗增加20%	* [멜스티스]가 적용되는 범위가 80으로 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004647	暴击魔法阵：强化	잘챠이: 강화	
SKILL_20180327_004648	* [暴击魔法阵]的暴击攻击力每特性等级增加1%	* 특성 레벨당 [잘챠이]의 치명타 공격력이 1% 증가	
SKILL_20180327_004649	* [圣火]范围内的我军进行魔法攻击时，{nl}造成火属性追加伤害{nl}* 火炬持续时间减少10秒{nl}* 移除HP恢复效果{nl}* 消耗SP增加20%{nl}* 冷却时间减少30秒	* [아우쿠라스] 범위 안에 있는 아군이 마법 공격을 하면{nl}    화속성 추가 대미지를 줌{nl}* 횃불 지속시간 10초 감소{nl}* HP 회복효과 제거{nl}* SP 소모 20%증가{nl}* 재사용 대기시간 30초 감소	
SKILL_20180327_004650	神圣烙印：除魔	디바인 스티그마: 악마처단	
SKILL_20180327_004651	* [神圣烙印]对恶魔型对象造成的伤害{nl}每级特性增加10%{nl}* 消耗SP增加20%	* [디바인 스티그마]의 대미지가 악마형 대상에게{nl}    특성 레벨당 10% 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004652	神圣烙印：强化	디바인 스티그마: 강화	
SKILL_20180327_004653	* 敌人所受到的[神圣烙印]伤害{nl}    每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [디바인 스티그마]의 대미지가{nl}    특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004654	神光：追加攻击	다이노: 추가 공격	
SKILL_20180327_004655	* [神光]BUFF状态下，基本攻击速度每技能等级增加10{nl}* [神光]BUFF状态下，基本攻击时会给予基本攻击伤害等量的{nl}    追加攻击{nl}* SP消耗增加50%	* [다이노] 버프 상태에서 기본 공격 속도가 스킬 레벨당 10 증가{nl}* [다이노] 버프 상태에서 기본 공격 시 기본 공격 대미지만큼{nl}    추가 공격{nl}* SP 소모 50%증가	
SKILL_20180327_004656	圣水洗礼：强化	아스퍼션: 강화	
SKILL_20180327_004657	* 敌人所受到的[圣水洗礼]伤害每特性等级增加增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [아스퍼션]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004658	圣水洗礼：强化2	아스퍼션: 강화 2	
SKILL_20180327_004659	* [圣水洗礼]伤害强化为圣水祭司2阶水准	* [아스퍼션] 대미지가 프리스트 2서클 수준으로 강화	
SKILL_20180327_004660	圣水洗礼：强化3	아스퍼션: 강화 3	
SKILL_20180327_004661	* [圣水洗礼]伤害强化为圣水祭司3阶水准	* [아스퍼션] 대미지가 프리스트 3서클 수준으로 강화	
SKILL_20180327_004662	祝福：强化	블레싱: 강화	
SKILL_20180327_004663	*  [祝福]的追加伤害每特性等级增加1%	* 특성 레벨당 [블레싱]의 추가대미지가 1% 증가	
SKILL_20180327_004664	圣礼：强化	사크라멘트: 강화	
SKILL_20180327_004665	* [圣礼]的神圣属性攻击力增加效果每特性等级提升	* 특성 레벨당 [사크라멘트]의 신성 속성 공격력 증가 효과 상승	
SKILL_20180327_004666	驱魔：强化	엑소사이즈: 강화	
SKILL_20180327_004667	* 敌人所受到的[驱魔]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [엑소사이즈]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004668	祝福：攻击次数	블레싱: 공격 횟수	
SKILL_20180327_004669	* 技能[祝福]的攻击次数每特性等级增加10{nl}* SP消耗增加20%	* 스킬 [블레싱]의 공격 횟수가 특성 레벨당 10 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004670	祝福：追加BUFF	블레싱: 추가 버프	
SKILL_20180327_004671	* 技能[祝福]的对象数量每特性等级增加1{nl}* SP消耗增加10%	* 스킬 [블레싱]의 대상의 수가 특성 레벨당 1 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004672	圣礼：黑暗属性抵抗	사크라멘트: 어둠 속성 저항	
SKILL_20180327_004673	* 技能[圣礼]技能活化期间{nl}    黑暗属性扺抗每特性等级增加5{nl}* SP消耗增加10%	* 스킬 [사크라멘트] 스킬이 활성화 되어 있는 동안 어둠 속성{nl}    저항이 특성 레벨당 5 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004674	复活术：复活次数	리저렉션: 부활 횟수	
SKILL_20180327_004675	* 技能[复活术]的复活对象数量每特性等级增加1{nl}* SP消耗增加10%	* 스킬 [리저렉션]의 부활 대상의 수가 특성 레벨당 1 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004676	重生：持续时间	리바이브: 지속시간	
SKILL_20180327_004677	* 技能[重生]的持续时间每特性等级增加7秒{nl}* 该特性不适用于队伍战斗联赛与统合公会战斗{nl}* SP消耗增加20%	* 스킬 [리바이브]의 지속시간이 특성 레벨당 7초씩 증가{nl}* 팀 배틀리그와 통합 길드배틀에서는 해당 특성이 적용되지 않음{nl}* SP 소모 20%증가	
SKILL_20180327_004678	圣光体：Buff持续时间	몬스트런스: 버프 지속시간	
SKILL_20180327_004679	* [圣光体]的Buff持续时间每特性等级增加60秒{nl}* SP 消耗增加20%	* [몬스트런스]의 버프 지속시간이 특성 레벨당 60초씩 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004680	圣光体：迴避	몬스트런스: 회피	
SKILL_20180327_004681	* [圣光体]活化的我军迴避每特性等级增加20{nl}* SP消耗增加10%	* [몬스트런스]가 활성화 되어 있는 동료들은 회피가 특성 레벨당 20 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004682	驱魔：持续时间	엑소사이즈: 지속시간	
SKILL_20180327_004683	* 技能[驱魔]的魔法阵持续时间每特性等级增加1秒{nl}* SP消耗增加10%	* 스킬 [엑소사이즈]의 마법진 지속시간이 특성 레벨당 1초 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004684	钉草人：强化	에피지: 강화	
SKILL_20180327_004685	* 敌人所受到的[钉草人]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [에피지]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004686	钉草人：强化2	에피지: 강화 2	
SKILL_20180327_004687	* [钉草人]伤害强化为邪灵祭司2阶水准	* [에피지] 대미지가 보코르 2서클 수준으로 강화	
SKILL_20180327_004688	钉草人：强化3	에피지: 강화 3	
SKILL_20180327_004689	* [钉草人]伤害强化为邪灵祭司3阶水准	* [에피지] 대미지가 보코르 3서클 수준으로 강화	
SKILL_20180327_004690	符咒：减少累积伤害	마캉달: 누적 대미지 감소	
SKILL_20180327_004691	* [符咒]的累积伤害每特性等级减少2	* [마캉달]의 누적된 대미지가 특성 레벨당 2 감소	
SKILL_20180327_004692	殭尸围绕：强化	브와카이망: 강화	
SKILL_20180327_004693	* 敌人所受到的[殭尸围绕]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [브와카이망]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004694	殭尸围绕：强化2	브와카이망: 강화 2	
SKILL_20180327_004695	* [殭尸围绕]伤害强化为邪灵祭司3阶水准	* [브와카이망] 대미지가 보코르 3서클 수준으로 강화	
SKILL_20180327_004696	殭尸自爆：强化	댐발라: 강화	
SKILL_20180327_004697	* 敌人所受到的[殭尸自爆]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [댐발라]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004698	制造殭尸：大型殭尸	좀비 만들기: 대형 좀비	
SKILL_20180327_004699	* 将大型怪物变成殭尸时出现大型殭尸的机率{nl}    每特性等级增加1%{nl}* SP消耗增加20%	* 대형 몬스터를 좀비로 만들었을 때 대형 좀비가 나올 확률이{nl}    특성 레벨당 1% 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004700	制造殭尸：轮椅殭尸	좀비 만들기: 휠체어 좀비	
SKILL_20180327_004701	* 变成殭尸时出现轮椅殭尸的机率每特性等级{nl}    增加1%{nl}* SP消耗增加20%	* 좀비가 만들어질 때 휠체어 좀비가 나올 확률이 특성 레벨당{nl}    1% 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004702	钉草人：失明	에피지: 블라인드	
SKILL_20180327_004703	* 敌人每次被技能[钉草人]攻击时每特性等级有5%的机率{nl}    5秒内进入[暗黑]Debuff{nl}* SP消耗增加10%	* 스킬 [에피지]로 적이 피격될 때마다 특성 레벨당 5% 확률로{nl}    5초 동안 [암흑] 디버프{nl}* SP 소모 10%증가	
SKILL_20180327_004704	力量旗帜：力量减少	오구베베: 힘 감소	
SKILL_20180327_004705	* 技能[力量旗帜]范围内的敌人力量每特性等级减少2{nl}* SP消耗增加20%	* 스킬 [오구베베] 범위 안에 적의 힘이 특성 레벨당 2만큼 감소{nl}* SP 소모 20%증가	
SKILL_20180327_004706	殭尸自爆：殭尸出现机率	댐발라: 좀비 출현 확률	
SKILL_20180327_004707	* 技能[殭尸自爆]的新殭尸出现机率每特性等级{nl}    增加2%{nl}* SP消耗增加20%	* 스킬 [댐발라]의 새 좀비 출현 확률이 특성 레벨당{nl}    2% 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004708	殭尸围绕：殭尸防御	브와카이망: 좀비 방어	
SKILL_20180327_004709	* 技能[殭尸围绕]所使用的殭尸们的物理防御力{nl}    每特性等级增加2%{nl}* SP 消耗增加10%	* 스킬 [브와카이망]에 사용되는 좀비들의 물리 방어력이{nl}    특성 레벨당 2% 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004710	制造殭尸：殭尸化	좀비 만들기: 좀비화	
SKILL_20180327_004711	* 技能[制造殭尸]的最大殭尸数量增加1{nl}* SP消耗增加10%	* 스킬 [좀비 만들기]의 최대 좀비 마릿수가 1 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004712	诅咒：黑暗 	헥싱: 어둠 	
SKILL_20180327_004713	* 被施予[诅咒]的敌人每特性等级黑暗属性攻击{nl}    追加伤害10%{nl}* SP消耗增加10%	* [헥싱]에 걸린 적은 어둠 속성 공격에 특성 레벨당 10%{nl}    추가 대미지{nl}* SP 소모 10%증가	
SKILL_20180327_004714	体力旗帜：范围增加	삼디베베: 범위 증가	
SKILL_20180327_004715	* [体力旗帜]套用的范围增加至110{nl}* SP消耗增加30%	* [삼디베베]가 적용되는 범위가 110으로 증가{nl}* SP 소모 30%증가	
SKILL_20180327_004716	力量旗帜：范围增加	오구베베: 범위 증가	
SKILL_20180327_004717	* [力量旗帜]套用的范围增加至110{nl}* SP消耗增加30%	* [오구베베]가 적용되는 범위가 110으로 증가{nl}* SP 소모 30%증가	
SKILL_20180327_004718	僵尸自爆：击倒清除	댐발라: 넉다운 제거	
SKILL_20180327_004719	* 技能[殭尸自爆]的击倒清除{nl}* 若该特性为ON绝对不会倒下{nl}* SP消耗增加10%	* 스킬 [댐발라]의 넉다운 제거{nl}* 해당 특성이 ON이면 무조건 넘어지지 않음{nl}* SP 소모 10%증가	
SKILL_20180327_004720	雕刻攻击：强化	목각 공격: 강화	
SKILL_20180327_004721	* 敌人所受到的[雕刻攻击]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [목각 공격]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004722	雕刻攻击：强化2	목각 공격: 강화 2	
SKILL_20180327_004723	* [雕刻攻击]伤害强化为雕刻师2阶水准	* [목각 공격] 대미지가 딥디르비 2서클 수준으로 강화	
SKILL_20180327_004724	雕刻攻击：强化3	목각 공격: 강화 3	
SKILL_20180327_004725	* [雕刻攻击]伤害强化为雕刻师3阶水准	* [목각 공격] 대미지가 딥디르비 3서클 수준으로 강화	
SKILL_20180327_004726	猫头鹰雕刻：强化	부엉이 조각상: 강화	
SKILL_20180327_004727	* 敌人所受到的[猫头鹰雕刻]伤害每特性等级增加{nl}    0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [부엉이 조각상]의 대미지가 특성 레벨당{nl}    0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004728	猫头鹰雕刻：强化2	부엉이 조각상: 강화 2	
SKILL_20180327_004729	* [猫头鹰雕刻]伤害强化为雕刻师3阶水准	* [부엉이 조각상] 대미지가 딥디르비 3서클 수준으로 강화	
SKILL_20180327_004730	雕刻攻击：获得机率	목각 공격: 획득 확률	
SKILL_20180327_004731	* 使用技能[雕刻攻击]获得材料的机率每特性等级{nl}    增加1%{nl}* SP消耗增加30%	* 스킬 [목각 공격]으로 재료를 획득할 확률이 특성 레벨당{nl}    1% 증가{nl}* SP 소모 30%증가	
SKILL_20180327_004732	雕刻世界树：维持	세계수 조각: 유지	
SKILL_20180327_004733	* 技能[雕刻世界树]范围减少但持续时间增加10秒	* 스킬 [세계수 조각] 범위가 줄어드는 대신 지속시간이 10초 증가	
SKILL_20180327_004734	雕刻师：植物型伤害	딥디르비: 식물형 대미지	
SKILL_20180327_004735	* 装备[钝器]攻击植物型怪物时每特性等级{nl}    造成10%的追加伤害	* [둔기] 착용 시 식물형 몬스터에게 특성 레벨당 10%의{nl}    추가 대미지	
SKILL_20180327_004736	瓦卡丽涅女神像：待机时间减少	바카리네 여신상: 대기시간 감소	
SKILL_20180327_004737	* 技能[瓦卡丽涅女神像]的冷却时间减少10秒	* 스킬 [바카리네 여신상]의 재사용 대기시간이 10초 감소	
SKILL_20180327_004738	拉伊玛女神像：根据地	라이마 여신상: 홈그라운드	
SKILL_20180327_004739	* 位在[拉伊玛女神像]活化范围内的敌人{nl}    使用技能时冷却时间增加{nl}* SP消耗增加10%	* [라이마 여신상]이 활성화 되어 있는 범위에 있는 적은{nl}    스킬 사용 시 재사용 대기시간이 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004740	奥施莉奈女神像：冷却时间减少	아우슈리네 여신상: 대기시간 감소	
SKILL_20180327_004741	* 技能[奥施莉奈女神像]的冷却时间减少10秒	* 스킬 [아우슈리네 여신상]의 재사용 대기시간이 10초 감소	
SKILL_20180327_004742	灵魂爆炸：强化	유체 폭발: 강화	
SKILL_20180327_004743	* 敌人所受到的[灵魂爆炸]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [유체 폭발]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004744	灵魂爆炸：强化2	유체 폭발: 강화 2	
SKILL_20180327_004745	* [灵魂爆炸]伤害强化为圣者2阶水准	* [유체 폭발] 대미지가 사두 2서클 수준으로 강화	
SKILL_20180327_004746	灵魂爆炸：强化3	유체 폭발: 강화 3	
SKILL_20180327_004747	* [灵魂爆炸]伤害强化为圣者3阶水准	* [유체 폭발] 대미지가 사두 3서클 수준으로 강화	
SKILL_20180327_004748	魂魄基本攻击：强化	유체 기본 공격: 강화	
SKILL_20180327_004749	*敌人所受到的魂魄基本攻击伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	*적에게 입히는 유체 기본 공격의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004750	支配：强化	포제션: 강화	
SKILL_20180327_004751	* 敌人所受到的[支配]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [포제션]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004752	支配：强化2	포제션: 강화 2	
SKILL_20180327_004753	* [支配]伤害强化为圣者3阶水准	* [포제션] 대미지가 사두 3서클 수준으로 강화	
SKILL_20180327_004754	灵魂出窍：迴避	유체이탈: 회피	
SKILL_20180327_004755	* 技能[灵魂出窍]活化期间本体的迴避{nl}    每特性等级增加10	* 스킬 [유체이탈]이 활성화 되어 있는 동안 본체의 회피가{nl}    특성 레벨당 10 증가	
SKILL_20180327_004756	灵魂爆炸：击倒	유체 폭발: 넉다운	
SKILL_20180327_004757	* 被技能[灵魂爆炸]击中的敌人倒下{nl}* SP消耗增加10%	* 스킬 [유체 폭발]에 피격된 적 넉다운{nl}* SP 소모 10%증가	
SKILL_20180327_004758	灵体合一：恢复HP	프라크리티: HP 회복	
SKILL_20180327_004759	* 使用技能[灵体合一]时每特性等级恢复{nl}    最大HP的5%{nl}* SP消耗增加30%	* 스킬 [프라크리티] 사용 시 특성 레벨당 최대 HP의 5%만큼{nl}    HP를 회복{nl}* SP 소모 30%증가	
SKILL_20180327_004760	魂魄基本攻击：弱化敌防御力	유체 기본 공격: 적 방어력 약화	
SKILL_20180327_004761	* 被灵魂状态的基本攻击命中的敌人每特性等级{nl}    有10%的机率物理防御力减少10%{nl}* 灵魂出窍时不能ON/OFF	* 유체 상태에서의 기본 공격에 피격 된 적은 특성 레벨당{nl}    10% 확률로 물리 방어력이 10% 감소{nl}* 유체 이탈 중에는 ON/OFF 불가능	
SKILL_20180327_004762	衰弱：SP 减少	바쉬타 싯디: SP 감소	
SKILL_20180327_004763	* 技能[衰弱]的每秒SP消耗量每特性等级{nl}    减少0.5%	* 스킬 [바쉬타 싯디]의 1초당 SP 소모량이 특성 레벨당{nl}    0.5% 감소	
SKILL_20180327_004764	衰弱：混乱	바쉬타 싯디: 혼란	
SKILL_20180327_004765	* 在[衰弱]范围内的敌人以一定机率5秒内{nl}    陷入[混乱]Debuff{nl}* 机率每特性等级增加10%{nl}* SP消耗增加20%	* [바쉬타 싯디]의 범위에 있는 적은 일정 확률로 5초 동안{nl}    [혼란] 디버프{nl}* 확률은 특성 레벨당 10% 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004766	能量传送：力量	프라나 전송: 힘	
SKILL_20180327_004767	* 使用[能量传送]时同时传送力量能力值	* [프라나 전송] 사용 시 힘 능력치도 전송	
SKILL_20180327_004768	能量传送：体力	프라나 전송: 체력	
SKILL_20180327_004769	* 使用[能量传送]时同时传送体力能力值	* [프라나 전송] 사용 시 체력 능력치도 전송	
SKILL_20180327_004770	能量传送：精神	프라나 전송: 정신	
SKILL_20180327_004771	* 使用[能量传送]时同时传送精神能力值	* [프라나 전송] 사용 시 정신 능력치도 전송	
SKILL_20180327_004772	能量传送：敏捷	프라나 전송: 민첩	
SKILL_20180327_004773	* 使用[能量传送]时同时传送敏捷能力值	* [프라나 전송] 사용 시 민첩 능력치도 전송	
SKILL_20180327_004774	恢复：强化	리스토레이션: 강화	
SKILL_20180327_004775	* [恢复]的HP恢复力增加效果每特性等级增加1%	* 특성 레벨당 [리스토레이션]의 HP 회복력 증가 효과가 1% 추가 상승	
SKILL_20180327_004776	重击：强化	스마이트: 강화	
SKILL_20180327_004777	* 敌人所受到的[重击]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [스마이트]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004778	重击：强化2	스마이트: 강화 2	
SKILL_20180327_004779	* [重击]伤害强化为圣殿十字军2阶水准	* [스마이트] 대미지가 팔라딘 2서클 수준으로 강화	
SKILL_20180327_004780	重击：强化3	스마이트: 강화 3	
SKILL_20180327_004781	* [重击]伤害强化为圣殿十字军3阶水准	* [스마이트] 대미지가 팔라딘 3서클 수준으로 강화	
SKILL_20180327_004782	元素抗性：抵抗	레지스트 엘레멘츠: 저항	
SKILL_20180327_004783	* 技能[元素抗性]活性化中时，火、冰、电气、毒、大地{nl}    属性攻击无效化机率每特性等级增加 0.8% {nl}* SP消耗增加10%	* 스킬 [레지스트 엘레멘츠]이 활성화 중일 때 불, 얼음, 전기, 독{nl}    땅 속성 공격을 무효화할 확률이 특성 레벨당 0.8% 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004784	障壁：神圣伤害	배리어: 신성대미지	
SKILL_20180327_004785	* 对撞上技能[障壁]的敌人每特性等级给予{nl}    角色魔法攻击力20%的神圣伤害{nl}* SP消耗增加10%	* 스킬 [배리어]에 부딪힌 적에게 특성 레벨당 캐릭터{nl}    마법 공격력의 20%만큼 신성 대미지{nl}* SP 소모 10%증가	
SKILL_20180327_004786	重击：坠落伤害	스마이트: 낙하대미지	
SKILL_20180327_004787	* 被技能[重击]攻击的敌人会翻腾至空中后掉落下来{nl}    并受到物理攻击力50%的伤害{nl}* 该特性只有为ON时会发动效果{nl}* SP消耗增加10%	* 스킬 [스마이트]에 공격 당한 적은 공중에 솟구치며{nl}    떨어지면서 물리 공격력의 50%만큼 대미지{nl}* 해당 특성이 ON일때만 효과가 발동{nl}* SP 소모 10%증가	
SKILL_20180327_004788	驱赶恶灵：精神	턴 언데드: 정신	
SKILL_20180327_004789	* 技能[驱赶恶灵]的即死机率和角色的精神成正比增加{nl}* SP消耗增加10%	* 스킬 [턴 언데드]의 즉사 확률이 캐릭터의 정신에 비례하여 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004790	驱赶恶灵：皈依	턴 언데드: 개종	
SKILL_20180327_004791	*最多可利用[驱赶恶灵]技能让5个敌人皈依{nl}*藉由技能[驱赶恶灵]皈依的怪物物理攻击力依角色{nl}力量属性的50%增加{nl}* 消耗SP增加20%	* [턴 언데드] 스킬로 최대 5마리 적 개종 가능{nl} * 스킬 [턴 언데드]으로 개종된 몬스터의 물리 공격력이 캐릭터{nl}    힘 스탯의 50%만큼 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004792	恢复：SP 恢复力	리스토레이션: SP 회복력	
SKILL_20180327_004793	* [恢复]活化期间角色的{nl}    SP恢复力增加{nl}* SP恢复力每特性等级增加10{nl}* SP消耗增加20%	* [리스토레이션]이 활성화 되어 있는 동안 캐릭터의{nl}    SP 회복력이 증가{nl}* SP 회복력은 특성 레벨당 10 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004794	定罪：强化	컨빅션: 강화	
SKILL_20180327_004795	* 敌人所受到的[定罪]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [컨빅션]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004796	元素抗性：强化	레지스트 엘레멘츠: 강화	
SKILL_20180327_004797	* 每特性等级[元素抗性]属性扺抗力增加1%	* 특성 레벨당 [레지스트 엘레멘츠] 속성 저항력들이 1% 증가	
SKILL_20180327_004798	皈依：忏悔	개종: 참회	
SKILL_20180327_004799	* [皈依]的怪物附近若有其他怪物接近皈依的怪物会自爆	* [개종]된 몬스터 근처에 다른 몬스터가 근접하면 개종된 몬스터가 자폭	
SKILL_20180327_004800	障壁：远距离防御	배리어: 원거리 방어	
SKILL_20180327_004801	* 在[障壁]裡的时候飞弹、力量的攻击伤害{nl}    每特性等级减少10%{nl}* SP消耗增加10{nl}* SP消耗增加20%	* [배리어] 안에 있을 경우 미사일, 포스 공격의 대미지가{nl}    특성 레벨당 10%씩 감소{nl}* SP 소모 10증가{nl}* SP 소모 20%증가	
SKILL_20180327_004802	障壁：范围增加	배리어: 범위 증가	
SKILL_20180327_004803	* [障壁]的半径增加2倍{nl}* SP消耗增加10%	* [배리어]의 반경이 2배 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004804	障壁：献身	배리어: 헌신	
SKILL_20180327_004805	* [障壁] 内的队员受到伤害时{nl}    圣殿十字军会代替受到伤害{nl}* 圣殿十字军在[障壁]内时，圣殿十字军的物理防閯力특성 레벨당{nl}    每特性等级增加4%{nl} * SP 消耗增加30%	* [배리어] 안에 있는 파티원이 피해를 입으면 팔라딘이{nl}    대신 피해를 입음{nl}* 팔라딘이 [배리어] 안에 있을떄 팔라딘의 물리 방어력이 특성 레벨당{nl}    4% 증가{nl} * SP 소모 30%증가	
SKILL_20180327_004806	摧毁：强化	데몰리션: 강화	
SKILL_20180327_004807	* 敌人所受到的[摧毁]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [데몰리션]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004808	摧毁：昏厥	데몰리션: 스턴	
SKILL_20180327_004809	* 每级特性有1%机率让被[摧毁]攻击的敌人昏厥	* [데몰리션]에 피격된 적이 특성 레벨당 1% 확률로 스턴	
SKILL_20180327_004810	双锁功：强化	쌍쇄공: 강화	
SKILL_20180327_004811	* 敌人所受到的[双锁功]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [쌍쇄공]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004812	双锁功：强化2	쌍쇄공: 강화 2	
SKILL_20180327_004813	* [双锁功]伤害强化为武僧2阶水准	* [쌍쇄공] 대미지가 몽크 2서클 수준으로 강화	
SKILL_20180327_004814	铁砂掌：强化	철사장: 강화	
SKILL_20180327_004815	* 敌人所受到的[铁砂掌]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [철사장]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004816	铁砂掌：强化2	철사장: 강화 2	
SKILL_20180327_004817	* [铁砂掌]伤害强化为武僧2阶水准	* [철사장] 대미지가 몽크 2서클 수준으로 강화	
SKILL_20180327_004818	观音掌：强化	관음장: 강화	
SKILL_20180327_004819	* 敌人所受到的[观音掌]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [관음장]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004820	观音掌：强化2	관음장: 강화 2	
SKILL_20180327_004821	* [观音掌]伤害强化为武僧2阶水准	* [관음장] 대미지가 몽크 2서클 수준으로 강화	
SKILL_20180327_004822	寸劲：强化	촌경: 강화	
