ITEM_20180327_000001	无 helmet	없음_helmet	
ITEM_20180327_002044	上级德雷克法杖	슈페리어 드레이크 스태프	
ITEM_20180327_002045	制造过程比钢铁法杖更複杂，但是这也是产出高品质装备的方法。	제조과정이 스틸 스태프보다 더 복잡하긴 하지만, 그 만큼 고품질의 장비가 나오는 법입니다.	
ITEM_20180327_002046	十字法杖	크로스 스태프	
ITEM_20180327_002047	此法杖和想像相比象徵许多美德，其意义为正当性、真理、空间等。	보기보다 이 지팡이는 많은 미덕을 상징합니다. 정당성, 진리, 공간 등이 그 의미입니다.	
ITEM_20180327_002048	上级十字法杖	슈페리어 크로스 스태프	
ITEM_20180327_002049	比起矩形法杖的美德，此法杖的制造更著重于能力。	스퀘어 스태프의 미덕보다는 능력에 초점을 두고 제조되었습니다.	
ITEM_20180327_002050	亚斯特洛法杖	아스트로 스태프	
ITEM_20180327_002051	博学者法杖的起源比历史上最伟大的魔法师亚佳伊拉弗罗里还要更久远。	메이지 스태프의 기원은 역사상 가장 위대한 마법사인 아가일라 플러리보다 더 오랜 시절로 올라가야 합니다.	
ITEM_20180327_002052	上级亚斯特洛法杖	슈페리어 아스트로 스태프	
ITEM_20180327_002053	将现存的博学者法杖加工成为此型态的是亚佳伊拉弗罗里，为了纪念她的成就，才取了现在这个名字。	기존의 메이지 스태프를 이 형태로 다듬은 것은 아가일라 플러리이며 그녀의 업적을 기념하는 의미에서 현재의 이름이 붙여졌습니다.	
ITEM_20180327_002054	普库恩法杖	부쿤 스태프	
ITEM_20180327_002055	据说此种类的法杖第一次被制造的起源和魔君主赫嘉塞露女妖有关。	일설에 의하면 이 종류의 지팡이가 처음 만들어진 기원은 마군주 헬가 세르클과 관련이 있다고 합니다.	
ITEM_20180327_002056	约鲁基斯德雷克法杖	요르기스 드레이크 스태프	
ITEM_20180327_002057	偶尔有人会搞混不知道此法杖那边才是上面。	가끔 이 지팡이의 어디가 위인지를 혼동하는 사람이 있다고 합니다. 	
ITEM_20180327_002058	邪恶法杖	이블 스태프	
ITEM_20180327_002059	上级邪恶法杖	슈페리어 이블 스태프	
ITEM_20180327_002060	(褪色的)複制品米坎堤法杖	(바랜)레플리카 미간티스 스태프	
ITEM_20180327_002061	(褪色的)複制品芙迪迈丝法杖	(바랜)레플리카 페버디마스 스태프	
ITEM_20180327_002062	标准法杖	기준스태프	
ITEM_20180327_002063	梅利娜斯法杖	멜리나스 스태프	
ITEM_20180327_002064	合成装备以增加相乘效果的研究初步成品。	장비를 합쳐서 상승효과를 더 높이는 연구의 초보적 성과물입니다. 	
ITEM_20180327_002065	魔气法杖	마기 스태프	
ITEM_20180327_002066	魔法语言利用此法杖的冰冷气息进行淬鍊。	마법의 언어가 이 지팡이를 차가운 기운을 이용해 담금질합니다.	
ITEM_20180327_002067	鲁达斯法杖	루다스 스태프	
ITEM_20180327_002068	 - 所有烈焰法师 技能等级 {img green_up_arrow 16 16}1增加	 - 모든 파이로맨서 스킬 레벨 {img green_up_arrow 16 16}1 증가	
ITEM_20180327_002069	为了让所有魔法具有普遍性，依照均衡的制造法制作而成的。	모든 마법에 보편성을 지니도록 하기 위해 균형잡힌 제조법에 의해 만들어집니다.	
ITEM_20180327_002070	莎塔斯法杖	살타스 스태프	
ITEM_20180327_002071	 - 冰爆术技能等级 {img green_up_arrow 16 16}3增加	 - 아이스 블래스트 스킬 레벨 {img green_up_arrow 16 16}3 증가	
ITEM_20180327_002072	前一代的烈焰法师大师研究了关于鍊金术相关的属性强化，不确定是否借此如愿减少了加比娅女神的负担。	전대의 파이로맨서 마스터는 연금술에 의한 속성 강화를 연구했습니다. 이로써 그가 원한대로 가비야 여신의 부담이 줄었는지는 확실치 않습니다.	
ITEM_20180327_002073	凯米尼斯法杖	케미니스 스태프	
ITEM_20180327_002074	寒冰法师大师在高原地带的隐藏场所发现的古代秘法，以此为基础创造了此武器的制造法。	크리오맨서 마스터는 이것의 제조법을 고원지대의 숨겨진 장소에서 발견한 고대의 비법을 바탕으로 만들었다고 합니다.	
ITEM_20180327_002075	卡洛斯图法杖	카르스토 스태프	
ITEM_20180327_002076	 - 用地狱气息技能时，会以20%机率发动持续10秒每间隔1秒对敌人施加角色Lv的 33%伤害的火焰效果	 - 헬브레스 스킬 사용시 적에게 20% 확률로 10초 동안 1초간 캐릭터 Lv의 33%만큼 대미지를 주는 화염 효과 발생	
ITEM_20180327_002077	有这样一种说法，当此制造法公诸于世时，研究此制造法的时空法师大师长叹了一口气。	일설에 의하면 이 제조법이 세상에 알려지자 그것을 검토한 크로노맨서 마스터가 한숨을 쉬었다고 합니다. 	
ITEM_20180327_002078	艾斯贝达法杖	엑스펙타 스태프	
ITEM_20180327_002079	听说在此法杖被制造完成的瞬间，使用者还是制造者不管做了什麽，烈焰法师大师都可以感觉得到。	사용자나 제조자가 무엇을 하든 이 지팡이가 제조되는 순간 파이로맨서 마스터는 그것을 감지할 수 있다고 합니다. 	
ITEM_20180327_002080	黑色法杖	블랙 스태프	
ITEM_20180327_002081	这个装备展现了此点，好好地使用平凡的材料也可以出现好的效果。	평범한 재료도 잘 사용하면 좋은 효과를 기대할 수 있음을 보여주는 장비입니다.	
ITEM_20180327_002082	威尔希法杖	웰시 스태프	
ITEM_20180327_002083	黑市的那些人很会制作这种武器， 是黑暗系法杖近年来制作出相当成功的一种装备。	블랙마켓 관련자들은 이런 종류의 무기를 잘 만들지만, 블랙 스태프에 관해서는 비교적 근래에 제조에 성공했습니다.	
ITEM_20180327_002084	魔法木头法杖	매직 우든 스태프	
ITEM_20180327_002085	世上除了追求强烈魔法的魔法师之外，也有一种魔法师是追求丰富的魔法。	세상에는 강한 마력보다 풍족한 마력을 추구하는 마법사도 있습니다.	
ITEM_20180327_002086	史密斯法杖	스미스 스태프	
ITEM_20180327_002087	 - 攻击时，以2%机率给予 +600% 伤害。	 - 공격 시 2% 확률로600% 추가 대미지	
ITEM_20180327_002088	偶尔匠人的固执会发出光芒制作出好的物品，而此物品偶尔也会展现能力。	가끔은 장인의 고집이 빛을 발하여 좋은 물건을 만들기도 합니다. 그리고 그 물건은 가끔 능력을 보여주기도 하고 말입니다.	
ITEM_20180327_002089	葛拉比斯法杖	클라비스 스태프	
ITEM_20180327_002090	听说这款装备卖得不错，威力也挺不错。	상업적으로 꽤 많이 팔린 장비라는 평가를 듣습니다. 위력도 나쁘지 않습니다.	
ITEM_20180327_002091	迪奥法杖	디오 스태프	
ITEM_20180327_002092	虽然魔法师用起来感觉有点笨重，但威力不赖。	마법사가 사용하기에는 약간 무거운 감이 있지만, 위력을 쓸만합니다.	
ITEM_20180327_002093	特雷希法杖	트레시 스태프	
ITEM_20180327_002094	希望你藉此装备能赢得植物型怪物屠杀者的名号。	당신이 이 장비를 통해 식물형 몬스터의 도살자로 이름을 날리길 기원합니다.	
ITEM_20180327_002095	塞兹塔斯法杖	세스타스 스태프	
ITEM_20180327_002096	还没有人因为此装备而变得有名，希望你能成为第一位。	이 장비로 유명해진 사람은 아직 없습니다. 당신이 처음이 되길 바랍니다.	
ITEM_20180327_002097	德拉特法杖	드라트 스태프	
ITEM_20180327_002098	亚斯顿法杖	아스턴 스태프	
ITEM_20180327_002099	泰内法杖	테넷 스태프	
ITEM_20180327_002100	起源于泰内圣堂的武具并非都是在同一个时期被研制出来的。和简单性相比，法杖比较晚被制作出，因为随著材料的不同魔力持续时间也不同，为了让魔力的持续时间能维持在一定时间内而做了一番努力，等到这点成功时，才完成了法杖。	테넷 성당을 기원으로 하는 무구들이 모두 같은 시기에 창안되지는 않았습니다. 스태프는 그 단순성에 비하면 늦게 만들어졌으며, 이는 재료에 따라 달라지는 마력의 지속기간이 일정 시간 유지되도록 하려는 노력이 성공했을 때 완성되었습니다.	
ITEM_20180327_002101	帕特里斯法杖	파트리스 스태프	
ITEM_20180327_002102	从植物开始爆发性成长开始，在急遽的成长之下，已内含死亡。为了快速成长而多消耗的生命力令死亡提前，从蕨叶中获得的魔力会还给植物们这种效果。	식물이 폭발적으로 생장하기 시작했을 때부터 급격한 성장 안에 이미 죽음이 내재해 있었습니다. 빠른 성장을 위해 소모된 만큼의 생명력이 죽음을 앞당기며, 고사리에서 얻은 마력은 식물들에게 그러한 효과를 돌려줍니다. 	
ITEM_20180327_002103	鲁卡斯法杖	루카스 스태프	
ITEM_20180327_002104	虽然很矛盾，但是将对抗野兽的力量放入此装备一事上最有帮助的人就是神树之日以前最爱护动物的职业人士。	모순적인 일이지만 이 장비에 야수에 대항하는 힘을 넣는 일에 가장 도움을 준 사람들은 신수의 날 이전에 가장 동물을 아끼던 직업의 사람들입니다.	
ITEM_20180327_002105	皮里斯法杖	필리스 스태프	
ITEM_20180327_002106	赋予扺抗变异型怪物的魔法的过程比想像还要困难，一方面要压制因为神树之日事物要变异的倾向，另一方面作为武器得好好接受魔力才行。	변이형 몬스터에 저항하는 마법부여는 생각보다 어려운 과정입니다. 신수의 날로 사물이 변이하려는 성향을 누르는 한편, 무기로서는 마력을 잘 받아들여야 하기 때문입니다. 	
ITEM_20180327_002107	艾沙奇乌法杖	에산치우 스태프	
ITEM_20180327_002108	据说亚佳伊拉弗罗里会想到制作对抗昆虫型怪物的武器是因为之前都没有人关心那个领域的关係。	일설에 따르면 아가일라 플러리가 곤충형 몬스터를 대적하는 무기를 만들 생각을 한 것은 단지 이제까지 그것에 신경 쓴 사람이 없었기 때문이라는 주장도 있습니다. 	
ITEM_20180327_002109	克雷格法杖	크래그 스태프	
ITEM_20180327_002110	不管主张露克立斯起源说的人理由为何， 据说露克立斯当时因为被宣告为叛徒，所以才隐藏他的名字，用了其它名字命名。 可是这些人也没有办法说明为何要使用克雷格这个名字也命名。	루클리스 기원설을 주장하는 사람들은 이유야 어찌되었든 루클리스가 당시에 반역자로 선포되었기에 그의 이름이 숨겨지고 이런 이름이 붙었다고 합니다. 그러나 그런 사람들도 하필이면 크래그라는 이름이 붙은 이유는 설명하지 못합니다.	
ITEM_20180327_002111	朝圣者法杖	필그림 스태프	
ITEM_20180327_002112	在女神们和人类相处的长久岁月裡，王国的各个地方、场所都有女神的留下的足迹和事蹟，而且还不少。因此产生了前往那些地方朝圣的人，所以寻求让他们可以有一个安全旅程的方法之事，就变得非常自然。	여신들께서 인간과 함께 해온 오랜 시간 동안, 왕국 곳곳에는 여신의 행적과 사연이 담긴 장소들이 적지 않게 됩니다. 이러한 장소를 순례하는 사람이 생기고 그들의 여행을 안전하게 하려는 방책이 모색된 것은 매우 자연스러운 일입니다.	
ITEM_20180327_002113	伊斯托拉法杖	이스토라 스태프	
ITEM_20180327_002114	有人认为或许是因为变异型怪物违反自然的伦理，所以才会从伊斯托拉武器哪裡受到更多的伤害。	혹자는 변이형 몬스터가 자연의 순리를 거스르기 때문에 이스토라 무기로부터 더 많은 피해를 입는다고 생각합니다.	
ITEM_20180327_002115	大地德雷克法杖	어스 드레이크 스태프	
ITEM_20180327_002116	红色十字法杖	레드 크로스 스태프	
ITEM_20180327_002117	亚蒂十字法杖	아티 크로스 스태프	
ITEM_20180327_002118	露玛斯法杖	루마스 스태프	
ITEM_20180327_002119	狩猎亚斯特洛法杖	헌팅 아스트로 스태프	
ITEM_20180327_002120	轻巧亚斯特洛法杖	라이트 아스트로 스태프	
ITEM_20180327_002121	亚蒂普库恩法杖	아티 부쿤 스태프	
ITEM_20180327_002122	黛莉斯邪恶法杖	델리스 이블 스태프	
ITEM_20180327_002123	冰冻邪恶法杖	아이스 이블 스태프	
ITEM_20180327_002124	亚蒂鹿角法杖	아티 스태그 스태프	
ITEM_20180327_002125	支援用德雷克法杖	지원용 드레이크 스태프	
ITEM_20180327_002126	泰芙林法杖	테브린 스태프	
ITEM_20180327_002127	很久以前，连女神与魔族都无法使用的武器被制作出来，并取名泰芙林。这种特别的装备制作过程十分困难，法杖倒算是其中还算简单的了。	오래 전 여신도 마족도 사용할 수 없는 무기가 제조되었으며, 테브린이라는 이름이 붙었습니다. 이런 특별한 장비의 제작은 무척 어려운 과정을 겪어야 하는데 그나마 스태프가 가장 쉬운 편이라고 합니다.	
ITEM_20180327_002128	(褪色的)米坎堤法杖	(바랜)미간티스 스태프	
ITEM_20180327_002129	充满魔力的法杖，但目前找不到启动魔力的方法依旧处于沉睡状态的法杖。	마력이 흐르는 스태프이지만, 마력을 활성화 시킬 방법이 없어 마치 잠들어 있는 듯한 스태프입니다.	
ITEM_20180327_002130	(褪色的)芙迪迈丝法杖	(바랜)페버디마스 스태프	
ITEM_20180327_002131	充满魔力的 法杖，魔力已完成启动。	마력이 흐르고 있는 스태프로, 마력이 활성화된 상태입니다.	
ITEM_20180327_002132	艾尔丽尼塞	엘리니스	
ITEM_20180327_002133	神木经过特殊处理后，镶嵌入增幅过的魔力水晶制作而成的，制程相当单纯，不过装备的能力却非常优秀。	신목에 특수한 처리를 가하여, 마력을 증폭시키는 크리스탈을 끼워 만든 것으로 만드는 방식은 매우 단순합니다만, 그 능력은 상상 이상입니다.	
ITEM_20180327_002134	堤耶沙法杖	티에사 스태프	
ITEM_20180327_002135	传说中圣者的遗物，据说此法杖模仿是来自古代魔神封印者的使用过的禅杖制作而成的。	성자의 유물이라고 전해지는 이 장비의 기원은, 고대 마신을 봉인한 지금은 전래되지 않는 이가 장비했다던 석장을 본떠 만든 것입니다.	
ITEM_20180327_002136	塞柯帝斯法杖	스케티스 스태프	
ITEM_20180327_002137	与实际战斗无关，概念上不同于保护伞般守护的盾牌，除了保护与安息，甚至涵括了尖锐的攻击。看来制作还有命名这塞柯帝斯装备的这个人大概天性浪漫吧！	실제 전투와 상관없이 관념적으로 우산이 가리키는 보호는 방패의 그것과 달리 보호와 안식 그리고 심지어 뾰족한 공격도 포함합니다. 스케티스 장비를 만들고 명명한 사람은 꽤 낭만적이었던 모양입니다.	
ITEM_20180327_002138	帕泽里达斯法杖	파저리타스 스태프	
ITEM_20180327_002139	上面写著在旅途中与帕泽里达斯权杖轮流使用就可以保平安。	파저리타스 로드와 번걸아 사용하면 여행이 편안해진다고 하는 문구가 새겨져 있습니다.	
ITEM_20180327_002140	米坎堤法杖	미간티스 스태프	
ITEM_20180327_002141	具有强大魔力的法杖，但目前找不到启动魔力的方法依旧处于沉睡状态的法杖。	강력한 마력이 흐르는 스태프이지만, 마력을 활성화 시킬 방법이 없어 마치 잠들어 있는 듯한 스태프입니다.	
ITEM_20180327_002142	芙迪迈丝法杖	페버디마스 스태프	
ITEM_20180327_002143	具有强大魔力的法杖，魔力已完成启动。	강력한 마력이 흐르고 있는 스태프로, 마력이 활성화된 상태입니다.	
ITEM_20180327_002144	拉帕伊法杖	라파이 스태프	
ITEM_20180327_002145	烛火法杖	캔들 스태프	
ITEM_20180327_002146	上方的烛火有可能会熄灭，可是从没有发生过燃烧物质烧尽的情况。	윗부분의 불은 꺼질 수도 있습니다. 그러나 연소할 물질이 다 타서 그런 경우는 없습니다.	
ITEM_20180327_002147	奥德拉法杖	아우드라	
ITEM_20180327_002148	 - 所有寒冰法师技能等级 {img green_up_arrow 16 16}2增加{nl}  -  冰属性技能攻击时，以15%机率对敌人发动3秒的结冰效果。	 - 모든 크리오맨서 스킬 레벨 {img green_up_arrow 16 16}2 증가{nl}  - 얼음 속성 스킬 공격 시 15% 확률로 적에게 3초간 결빙 효과 발생	
ITEM_20180327_002149	寒冰法师大师开玩笑地对烈焰法师大师说过这样的话，拿著这个武器对著空手的自己，用冰系魔法挑战看看。	크리오맨서 마스터는 농담삼아 파이로맨서 마스터에게 이것을 들고 맨손인 자신에게 빙계마법으로 도전하라고 했다는 말이 있습니다.	
ITEM_20180327_002150	向日葵法杖	선플라워	
ITEM_20180327_002151	此法杖的制造法上不是只有获得加比娅女神帮助的方法，也记录了获得萨勒女神帮助的方法。	이 지팡이의 제조법에는 가비야 여신뿐 아니라 사울레 여신의 도움을 얻는 방법도 기록되어 있습니다.	
ITEM_20180327_002152	玛雷迪克法杖	말레딕	
ITEM_20180327_002153	根据传说此法杖具有魔界的原形，会出现在此世上不过是投影而已。	전설에 의하면 이 지팡이는 마계의 원형이 있다고 합니다. 이 세계에 나타나는 것들은 그 투영에 불과하다고 합니다.	
ITEM_20180327_002154	玛雷杜姆法杖	말레둠	
ITEM_20180327_002155	部份魔法师在追求玛雷迪克法杖原形的过程中，成功研制出更强力的玛雷杜姆法杖。	일부 마법사들이 말레딕의 원형을 추구하는 과정에 더 강력한 말레둠 지팡이를 만드는데 성공했습니다.	
ITEM_20180327_002156	死灵查普利法杖	채퍼리션 스태프	
ITEM_20180327_002157	如果要将黑暗灵魂的力量蕴藏于装备上并使用，有时得要付出适当的代价。	어두운 영혼의 힘을 장비에 담아 쓰려면 때로는 적절한 대가를 내주어야 하는 법입니다.	
ITEM_20180327_002158	力量法杖	파워 스태프	
ITEM_20180327_002159	 - 法杖攻击(快捷键 C)时，增加自己魔法攻击力200%的伤害。	 - 스태프 공격(단축키 C) 시 자신의 마법 공격력만큼 추가 대미지	
ITEM_20180327_002160	只要有这法杖，就算不使用魔法也可以和敌人对抗。	이 지팡이가 있다면 마법을 쓰지 않고서도 적을 상대할 수 있습니다.	
ITEM_20180327_002161	赛伊摩斯法杖	세이모스 스태프	
ITEM_20180327_002162	法师法杖	위저드 스태프	
ITEM_20180327_002163	 - 使用魔法飞弹时 {img green_up_arrow 16 16}186 伤害 추가	 - 매직 미사일 사용 시 {img green_up_arrow 16 16}186 대미지 추가	
ITEM_20180327_002164	玛加斯法杖	마가스 스태프	
ITEM_20180327_002165	班夏拉法杖	펜사라 스태프	
ITEM_20180327_002166	彼安那拉吉斯法杖	비엔나라지스 스태프	
ITEM_20180327_002167	(褪色的)艾尔丽尼塞	(바랜)엘리니스	
ITEM_20180327_002168	(褪色的)堤耶沙法杖	(바랜)티에사 스태프	
ITEM_20180327_002169	(褪色的)塞柯帝斯法杖	(바랜)스케티스 스태프	
ITEM_20180327_002170	(褪色的)帕泽里达斯法杖	(바랜)파저리타스 스태프	
ITEM_20180327_002171	(褪色的)弗丽聂米坎堤法杖	(바랜)퓨리네 미간티스 스태프	
ITEM_20180327_002172	(褪色的)弗丽聂芙迪迈丝法杖	(바랜)퓨리네 페버디마스 스태프	
ITEM_20180327_002173	贝尔塔斯艾尔丽尼塞	베르타스 엘리니스	
ITEM_20180327_002174	贝尔塔斯堤耶沙法杖	베르타스 티에사 스태프	
ITEM_20180327_002175	贝尔塔斯塞柯帝斯法杖	베르타스 스케티스 스태프	
ITEM_20180327_002176	贝尔塔斯帕泽里达斯法杖	베르타스 파저리타스 스태프	
ITEM_20180327_002177	贝尔塔斯米坎堤法杖	베르타스 미간티스 스태프	
ITEM_20180327_002178	贝尔塔斯芙迪迈丝法杖	베르타스 페버디마스 스태프	
ITEM_20180327_002179	贝尔塔斯拉帕伊法杖	베르타스 라파이 스태프	
ITEM_20180327_002180	阿尔卡法杖	아르카 스태프	
ITEM_20180327_002181	根据流传的故事，亚佳伊拉弗罗里在建设魔法师之塔的那个时候，就是使用这种法杖。	전하는 이야기에 따르면 아가일라 플러리가 마법사의 탑을 건설하던 시절에 이런 지팡이를 사용했다고 합니다.	
ITEM_20180327_002182	拉卡诺斯魂法杖	라가노스 혼	
ITEM_20180327_002183	很久以前被封印的哈勃克魔王洩露了魔界的秘密，以那个秘密为基础，亚佳伊拉弗罗里研制出此法便的制造法。	오래전 봉인된 하우벅이란 마왕이 마계의 비밀을 노출했으며 그 비밀을 바탕으로 아가일라 플러리가 이 지팡이의 제조법을 창안해냈습니다.	
ITEM_20180327_002184	鲁马法杖	루마 스태프	
ITEM_20180327_002185	卡拉图尼斯 法杖	갈라투니스 스태프	
ITEM_20180327_002186	地下墓穴法杖	카타콤 스태프	
ITEM_20180327_002187	罗洛班索法杖	롤로팬서 스태프	
ITEM_20180327_002188	泽米娜女神的寺院本身拥有大地之柱的传说，虽然那个被遗忘，但是为了纪念那个传说，至今还有法杖留在世上。	제미나 여신의 사원은 그 자체로 대지의 기둥이라는 전설이 있었습니다. 그 전설이 잊혀졌지만, 그 전설을 기념하기 위한 스태프는 이렇게 아직도 세상에 남아있습니다.	
ITEM_20180327_002189	索尔米奇法杖	솔미키 스태프	
ITEM_20180327_002190	听说为了制作此装备，奎波尔们提供了从地下找来最上等的水晶及宝石。	이 장비를 제작하기 위해 큐폴들이 지하에서 가장 좋은 수정과 보석을 찾아내 제공했다는 소문이 있습니다.	
ITEM_20180327_002191	里加德角法杖	리가드 혼 스태프	
ITEM_20180327_002192	普利摩斯艾尔丽尼塞	프리머스 엘리니스	
ITEM_20180327_002193	普利摩斯堤耶沙法杖	프리머스 티에사 스태프	
ITEM_20180327_002194	普利摩斯塞柯帝斯法杖	프리머스 스케티스 스태프	
ITEM_20180327_002195	普利摩斯帕泽里达斯法杖	프리머스 파저리타스 스태프	
ITEM_20180327_002196	普利摩斯米坎堤法杖	프리머스 미간티스 스태프	
ITEM_20180327_002197	普利摩斯芙迪迈丝法杖	프리머스 페버디마스 스태프	
ITEM_20180327_002198	普利摩斯拉帕伊法杖	프리머스 라파이 스태프	
ITEM_20180327_002199	摩西尼奥斯法杖	마시니오스 스태프	
ITEM_20180327_002200	当摩西尼奥斯得知亚佳伊拉弗罗里安装在魔法师之塔的装置并不是为了使用魔力，而是为了干扰某种力量的收集与累积，并将其原理套用在法杖上，因此魔法增幅的性能比投入的努力和材料还要高。	마법사의 탑에 아가일라 플러리가 설치한 장치들이 마력의 운용이 아니라 어떤 힘의 수집과 축적에 관여한다는 사실을 파악한 뒤 마시니오스가 그 원리를 이 지팡이에 구현하여 들어간 노력과 재료에 비하면 마법증폭의 성능이 높습니다.	
ITEM_20180327_002201	左轮手枪	리볼버	
ITEM_20180327_002202	手枪[飞弹:手枪]	권총[미사일:총]	
ITEM_20180327_002203	枪枝导入王国以来，枪枝发展百花齐放，此武器的著重点在于小型化和连发射击的便利性，还有满足使用者的对美的基准。	화기가 왕국에 도입된 이래 그 발전의 방향은 여러가지였습니다. 이 무기의 경우 그것은 소형화와 연발사격의 편리성 그리고 사용자를 위한 미적 기준의 충족이 그 주안점입니다.	
ITEM_20180327_002204	燧发枪	스내펀스	
ITEM_20180327_002205	有些人喜欢携带方便，一发的威力很强的武器，而符合这个要求的枪枝就是这个。	어떤 사람들은 휴대는 편리하고 한 발의 위력은 강한 무기를 원하기도 합니다. 그 요구에 부합하는 화기가 바로 이것입니다.	
ITEM_20180327_002206	长手枪	롱 피스톨	
ITEM_20180327_002207	练习用左轮手枪	연습용 리볼버	
ITEM_20180327_002208	皇家长手枪	로얄 피스톨	
ITEM_20180327_002209	上级皇家长手枪	슈페리어 로얄 피스톨	
ITEM_20180327_002210	(褪色的)複制品米坎堤手枪	(바랜)레플리카 미간티스 피스톨	
ITEM_20180327_002211	(褪色的)複制品芙迪迈丝手枪	(바랜)레플리카 페버디마스 피스톨	
ITEM_20180327_002212	练习用手枪	연습용 피스톨	
ITEM_20180327_002213	枪类在引进王国后有各种不同的发展方向，此武器的设计著重在小型化和连发射击的便利性，并满足人类的审美观点。	화기가 왕국에 도입된 이래 그 발전의 방향은 여러 가지였습니다. 이 무기의 경우 그것은 소형화와 연발 사격의 편리성 그리고 사용자를 위한 미적 기준의 충족이 그 주안점입니다.	
ITEM_20180327_002214	上级亚斯顿手枪	슈페리어 아스턴 피스톨	
ITEM_20180327_002215	戴维手枪	데비 피스톨	
ITEM_20180327_002216	手枪	핸드건	
ITEM_20180327_002217	 - 所有黑暗骑兵技能等级增加 {img green_up_arrow 16 16}1 	 - 모든 슈바르츠라이터 스킬 레벨 {img green_up_arrow 16 16}1 증가	
ITEM_20180327_002218	在王国的枪枝发明历史上，此武器是个基准点，在各种状况之下，保留枪枝的优点设计而成的。	왕국의 화기 개발 역사에서 기준점을 제시한 무기입니다. 여러 상황에서도 화기가 가지는 장점을 잃지 않도록 설계되었습니다.	
ITEM_20180327_002219	伊斯托拉左轮手枪	이스토라 리볼버	
ITEM_20180327_002220	随著重新审视伊斯托拉武器种类，根据现在伊斯托拉地区的好几位学者所言，还研制了完全新型态的武器，而此武器就是其代表事例。 	이스토라 무기류가 재조명되면서 현재 이스토라 지역의 몇몇 학자에 의해 전혀 새로운 형태의 무기가 창안되기도 했습니다. 이 무기가 그 대표적인 예입니다.	
ITEM_20180327_002221	比尼左轮手枪	비니 리볼버	
ITEM_20180327_002222	由基本左轮手枪进行实验改造的，看起来比一般左轮手枪更有效率。	기본적인 리볼버의 시험적 개량형으로, 일반적인 리볼버보다 더 나은 효율을 보입니다.	
ITEM_20180327_002223	泰芙林左轮手枪	테브린 리볼버	
ITEM_20180327_002224	很久以前，连女神与魔族都无法使用的武器被制作出来，并取名泰芙林。到底为何硬要打造没有人能使用的武器到现在还不得而知，但是随著制作技术发展，听说有人正暗中制作新的泰芙林装备。	오래 전 여신도 마족도 사용할 수 없는 무기가 제조되었으며, 테브린이라는 이름이 붙었습니다. 여신들께서 당신들도 사용할 수 없는 무기를 굳이 제작한 사연은 지금까지 알려지지 않았습니다. 다만 제조 기술의 발전에 따라 지금도 테브린 장비를 비밀스럽게 만드는 사람이 있다고 합니다.	
ITEM_20180327_002225	(褪色的)米坎堤手枪	(바랜)미간티스 피스톨	
ITEM_20180327_002226	充满魔力的手枪，但目前找不到启动魔力的方法依旧处于沉睡状态的手枪。	마력이 흐르는 권총이지만, 마력을 활성화 시킬 방법이 없어 마치 잠들어 있는 듯한 권총입니다.	
ITEM_20180327_002227	(褪色的)芙迪迈丝手枪	(바랜)페버디마스 피스톨	
ITEM_20180327_002228	充满魔力的 手枪，魔力已启动完成。	마력이 흐르고 있는 권총으로, 마력이 활성화된 상태입니다.	
ITEM_20180327_002229	亚克利司	알크리스	
ITEM_20180327_002230	携带方便，射击时能对敌人施予相当的伤害。	휴대가 간편하고, 격발시 확실하게 적에게 상처를 주기 위한 무기입니다.	
ITEM_20180327_002231	帕泽里达斯手枪	파저리타스 피스톨	
ITEM_20180327_002232	上面写著＂开枪后，将枪口靠进嘴帅气地吹一口烟雾吧！ ＂	발사후 총구를 입에 대고 연기를 불어날리는 행위를 삼가합시다 라는 문구가 적혀 있습니다.	
ITEM_20180327_002233	米坎堤手枪	미간티스 피스톨	
ITEM_20180327_002234	具有强大魔力的手枪，但目前找不到启动魔力的方法依旧处于沉睡状态的手枪。	강력한 마력이 흐르는 권총이지만, 마력을 활성화 시킬 방법이 없어 마치 잠들어 있는 듯한 권총입니다.	
ITEM_20180327_002235	芙迪迈丝手枪	페버디마스 피스톨	
ITEM_20180327_002236	具有强大魔力的手枪，魔力已启动完成。	강력한 마력이 흐르고 있는 권총으로, 마력이 활성화된 상태입니다.	
ITEM_20180327_002237	拉帕伊手枪	라파이 피스톨	
ITEM_20180327_002238	双弹道手枪	더블 스택	
ITEM_20180327_002239	(褪色的)亚克利司	(바랜)알크리스	
ITEM_20180327_002240	(褪色的)帕泽里达斯手枪	(바랜)파저리타스 피스톨	
ITEM_20180327_002241	(褪色的)弗丽聂米坎堤手枪	(바랜)퓨리네 미간티스 피스톨	
ITEM_20180327_002242	(褪色的)弗丽聂芙迪迈丝手枪	(바랜)퓨리네 페버디마스 피스톨	
ITEM_20180327_002243	贝尔塔斯亚克利司	베르타스 알크리스	
ITEM_20180327_002244	贝尔塔斯帕泽里达斯手枪	베르타스 파저리타스 피스톨	
ITEM_20180327_002245	贝尔塔斯米坎堤手枪	베르타스 미간티스 피스톨	
ITEM_20180327_002246	贝尔塔斯芙迪迈丝手枪	베르타스 페버디마스 피스톨	
ITEM_20180327_002247	贝尔塔斯拉帕伊手枪	베르타스 라파이 피스톨	
ITEM_20180327_002248	玛那玛那	마나마나	
ITEM_20180327_002249	罗洛班索手枪	롤로팬서 피스톨	
