ITEM_20180327_000001	Empty_helmet	없음_helmet	
ITEM_20180327_006465	Lv14 Condensed SP Potion	농축 SP포션 LV14	
ITEM_20180327_006466	Instantly restores 882 SP. {nl}Additionally restores SP every 2 seconds. {nl}882 SP is restored over 15 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	SP를 882 즉시 회복시키고 2초 간격으로 15초 동안 SP를 882 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006467	Lv15 Condensed SP Potion	농축 SP포션 LV15	
ITEM_20180327_006468	Instantly restores 918 SP. {nl}Additionally restores SP every 2 seconds. {nl}918 SP is restored over 15 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	SP를 918 즉시 회복시키고 2초 간격으로 15초 동안 SP를 918 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006469	Lv2 Condensed Stamina Pill	농축 스태미나 알약 LV2	
ITEM_20180327_006470	Restores 52 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 52 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006471	Lv3 Condensed Stamina Pill	농축 스태미나 알약 LV3	
ITEM_20180327_006472	Restores 54 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 54 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006473	Lv4 Condensed Stamina Pill	농축 스태미나 알약 LV4	
ITEM_20180327_006474	Restores 56 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 56 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006475	Lv5 Condensed Stamina Pill	농축 스태미나 알약 LV5	
ITEM_20180327_006476	Restores 58 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 58 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006477	Lv6 Condensed Stamina Pill	농축 스태미나 알약 LV6	
ITEM_20180327_006478	Restores 60 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 60 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006479	Lv7 Condensed Stamina Pill	농축 스태미나 알약 LV7	
ITEM_20180327_006480	Restores 62 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 62 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006481	Lv8 Condensed Stamina Pill	농축 스태미나 알약 LV8	
ITEM_20180327_006482	Restores 64 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 64 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006483	Lv9 Condensed Stamina Pill	농축 스태미나 알약 LV9	
ITEM_20180327_006484	Restores 66 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 66 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006485	Lv10 Condensed Stamina Pill	농축 스태미나 알약 LV10	
ITEM_20180327_006486	Restores 68 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 68 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006487	Lv11 Condensed Stamina Pill	농축 스태미나 알약 LV11	
ITEM_20180327_006488	Restores 70 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 70 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006489	Lv12 Condensed Stamina Pill	농축 스태미나 알약 LV12	
ITEM_20180327_006490	Restores 72 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 72 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006491	Lv13 Condensed Stamina Pill	농축 스태미나 알약 LV13	
ITEM_20180327_006492	Restores 74 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 74 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006493	Lv14 Condensed Stamina Pill	농축 스태미나 알약 LV14	
ITEM_20180327_006494	Restores 76 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 76 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006495	Lv15 Condensed Stamina Pill	농축 스태미나 알약 LV15	
ITEM_20180327_006496	Restores 78 Stamina. {nl}Right-click to use. Cooldown of 30 seconds.	스태미나를 78 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006497	Lv2 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV2	
ITEM_20180327_006498	Increases your movement speed by 3 for 185 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	185초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006499	Lv3 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV3	
ITEM_20180327_006500	Increases your movement speed by 3 for 190 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	190초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006501	Lv4 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV4	
ITEM_20180327_006502	Increases your movement speed by 3 for 195 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	195초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006503	Lv5 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV5	
ITEM_20180327_006504	Increases your movement speed by 3 for 200 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	200초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006505	Lv6 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV6	
ITEM_20180327_006506	Increases your movement speed by 3 for 205 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	205초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006507	Lv7 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV7	
ITEM_20180327_006508	Increases your movement speed by 3 for 210 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	210초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006509	Lv8 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV8	
ITEM_20180327_006510	Increases your movement speed by 3 for 215 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	215초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006511	Lv9 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV9	
ITEM_20180327_006512	Increases your movement speed by 3 for 220 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	220초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006513	Lv10 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV10	
ITEM_20180327_006514	Increases your movement speed by 3 for 225 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	225초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006515	Lv11 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV11	
ITEM_20180327_006516	Increases your movement speed by 3 for 230 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	230초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006517	Lv12 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV12	
ITEM_20180327_006518	Increases your movement speed by 3 for 235 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	235초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006519	Lv13 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV13	
ITEM_20180327_006520	Increases your movement speed by 3 for 240 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	240초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006521	Lv14 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV14	
ITEM_20180327_006522	Increases your movement speed by 3 for 245 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	245초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006523	Lv15 Condensed Movement Speed Potion	농축 이동속도 증가 포션 LV15	
ITEM_20180327_006524	Increases your movement speed by 3 for 250 seconds. {nl}Right-click to use. Cooldown of 30 seconds.	250초 동안 이동속도를 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20180327_006525	Lv1 Block Potion	블럭 증가 포션 LV1	
ITEM_20180327_006526	Increases your block by 50 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +50 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006527	Lv2 Block Potion	블럭 증가 포션 LV2	
ITEM_20180327_006528	Increases your block by 65 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +65 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006529	Lv3 Block Potion	블럭 증가 포션 LV3	
ITEM_20180327_006530	Increases your block by 80 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +80 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006531	Lv4 Block Potion	블럭 증가 포션 LV4	
ITEM_20180327_006532	Increases your block by 95 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +95 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006533	Lv5 Block Potion	블럭 증가 포션 LV5	
ITEM_20180327_006534	Increases your block by 110 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +110 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006535	Lv6 Block Potion	블럭 증가 포션 LV6	
ITEM_20180327_006536	Increases your block by 125 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +125 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006537	Lv7 Block Potion	블럭 증가 포션 LV7	
ITEM_20180327_006538	Increases your block by 140 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +140 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006539	Lv8 Block Potion	블럭 증가 포션 LV8	
ITEM_20180327_006540	Increases your block by 155 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +155 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006541	Lv9 Block Potion	블럭 증가 포션 LV9	
ITEM_20180327_006542	Increases your block by 170 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +170 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006543	Lv10 Block Potion	블럭 증가 포션 LV10	
ITEM_20180327_006544	Increases your block by 185 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +185 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006545	Lv11 Block Potion	블럭 증가 포션 LV11	
ITEM_20180327_006546	Increases your block by 200 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +200 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006547	Lv12 Block Potion	블럭 증가 포션 LV12	
ITEM_20180327_006548	Increases your block by 215 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +215 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006549	Lv13 Block Potion	블럭 증가 포션 LV13	
ITEM_20180327_006550	Increases your block by 230 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +230 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006551	Lv14 Block Potion	블럭 증가 포션 LV14	
ITEM_20180327_006552	Increases your block by 245 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +245 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006553	Lv15 Block Potion	블럭 증가 포션 LV15	
ITEM_20180327_006554	Increases your block by 260 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 블럭을 +260 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006555	Lv1 Critical Damage Potion	치명타 공격력 증가 포션 LV1	
ITEM_20180327_006556	Increases your critical damage by 32 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +32 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006557	Lv2 Critical Damage Potion	치명타 공격력 증가 포션 LV2	
ITEM_20180327_006558	Increases your critical damage by 44 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +44 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006559	Lv3 Critical Damage Potion	치명타 공격력 증가 포션 LV3	
ITEM_20180327_006560	Increases your critical damage by 56 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +56 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006561	Lv4 Critical Damage Potion	치명타 공격력 증가 포션 LV4	
ITEM_20180327_006562	Increases your critical damage by 68 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +68 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006563	Lv5 Critical Damage Potion	치명타 공격력 증가 포션 LV5	
ITEM_20180327_006564	Increases your critical damage by 80 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +80 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006565	Lv6 Critical Damage Potion	치명타 공격력 증가 포션 LV6	
ITEM_20180327_006566	Increases your critical damage by 92 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +92 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006567	Lv7 Critical Damage Potion	치명타 공격력 증가 포션 LV7	
ITEM_20180327_006568	Increases your critical damage by 104 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +104 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006569	Lv8 Critical Damage Potion	치명타 공격력 증가 포션 LV8	
ITEM_20180327_006570	Increases your critical damage by 116 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +116 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006571	Lv9 Critical Damage Potion	치명타 공격력 증가 포션 LV9	
ITEM_20180327_006572	Increases your critical damage by 128 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +128 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006573	Lv10 Critical Damage Potion	치명타 공격력 증가 포션 LV10	
ITEM_20180327_006574	Increases your critical damage by 140 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +140 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006575	Lv11 Critical Damage Potion	치명타 공격력 증가 포션 LV11	
ITEM_20180327_006576	Increases your critical damage by 152 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds	180초 동안 치명타 공격력을 +152 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006577	Lv12 Critical Damage Potion	치명타 공격력 증가 포션 LV12	
ITEM_20180327_006578	Increases your critical damage by 164 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +164 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006579	Lv13 Critical Damage Potion	치명타 공격력 증가 포션 LV13	
ITEM_20180327_006580	Increases your critical damage by 176 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +176 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006581	Lv14 Critical Damage Potion	치명타 공격력 증가 포션 LV14	
ITEM_20180327_006582	Increases your critical damage by 188 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +188 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006583	Lv15 Critical Damage Potion	치명타 공격력 증가 포션 LV15	
ITEM_20180327_006584	Increases your critical damage by 200 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 치명타 공격력을 +200 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006585	Lv1 Magic Amplification Potion	마법 증폭 증가 포션 LV1	
ITEM_20180327_006586	Increases your magic amplification by 10 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +10 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006587	Lv2 Magic Amplification Potion	마법 증폭 증가 포션 LV2	
ITEM_20180327_006588	Increases your magic amplification by 14 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +14 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006589	Lv3 Magic Amplification Potion	마법 증폭 증가 포션 LV3	
ITEM_20180327_006590	Increases your magic amplification by 18 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +18 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006591	Lv4 Magic Amplification Potion	마법 증폭 증가 포션 LV4	
ITEM_20180327_006592	Increases your magic amplification by 22 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +22 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006593	Lv5 Magic Amplification Potion	마법 증폭 증가 포션 LV5	
ITEM_20180327_006594	Increases your magic amplification by 26 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +26 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006595	Lv6 Magic Amplification Potion	마법 증폭 증가 포션 LV6	
ITEM_20180327_006596	Increases your magic amplification by 30 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +30 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006597	Lv7 Magic Amplification Potion	마법 증폭 증가 포션 LV7	
ITEM_20180327_006598	Increases your magic amplification by 34 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +34 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006599	Lv8 Magic Amplification Potion	마법 증폭 증가 포션 LV8	
ITEM_20180327_006600	Increases your magic amplification by 38 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +38 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006601	Lv9 Magic Amplification Potion	마법 증폭 증가 포션 LV9	
ITEM_20180327_006602	Increases your magic amplification by 42 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +42 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006603	Lv10 Magic Amplification Potion	마법 증폭 증가 포션 LV10	
ITEM_20180327_006604	Increases your magic amplification by 46 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +46 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006605	Lv11 Magic Amplification Potion	마법 증폭 증가 포션 LV11	
ITEM_20180327_006606	Increases your magic amplification by 50 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +50 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006607	Lv12 Magic Amplification Potion	마법 증폭 증가 포션 LV12	
ITEM_20180327_006608	Increases your magic amplification by 54 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +54 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006609	Lv13 Magic Amplification Potion	마법 증폭 증가 포션 LV13	
ITEM_20180327_006610	Increases your magic amplification by 58 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +58 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006611	Lv14 Magic Amplification Potion	마법 증폭 증가 포션 LV14	
ITEM_20180327_006612	Increases your magic amplification by 62 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +62 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006613	Lv15 Magic Amplification Potion	마법 증폭 증가 포션 LV15	
ITEM_20180327_006614	Increases your magic amplification by 66 for 180 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	180초 동안 마법 증폭을 +66 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006615	Lv1 AoE Attack Ratio Potion	광역 공격 비율 증가 포션 LV1	
ITEM_20180327_006616	Increases your AoE attack ratio by 3 for 20 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	20초 동안 광역 공격 비율을 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006617	Lv2 AoE Attack Ratio Potion	광역 공격 비율 증가 포션 LV2	
ITEM_20180327_006618	Increases your AoE attack ratio by 3 for 25 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	25초 동안 광역 공격 비율을 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006619	Lv3 AoE Attack Ratio Potion	광역 공격 비율 증가 포션 LV3	
ITEM_20180327_006620	Increases your AoE attack ratio by 3 for 30 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	30초 동안 광역 공격 비율을 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006621	Lv4 AoE Attack Ratio Potion	광역 공격 비율 증가 포션 LV4	
ITEM_20180327_006622	Increases your AoE attack ratio by 3 for 35 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	35초 동안 광역 공격 비율을 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006623	Lv5 AoE Attack Ratio Potion	광역 공격 비율 증가 포션 LV5	
ITEM_20180327_006624	Increases your AoE attack ratio by 3 for 40 seconds. {nl}Right-click to use. Cooldown of 60 seconds.	40초 동안 광역 공격 비율을 +3 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.	
ITEM_20180327_006625	Lv1 Attack Booster	공격 부스터 LV1	
ITEM_20180327_006626	Adds 15 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +15 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20180327_006627	Lv2 Attack Booster	공격 부스터 LV2	
ITEM_20180327_006628	Adds 18 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +18 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20180327_006629	Lv3 Attack Booster	공격 부스터 LV3	
ITEM_20180327_006630	Adds 21 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +21 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20180327_006631	Lv4 Attack Booster	공격 부스터 LV4	
ITEM_20180327_006632	Adds 24 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +24 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20180327_006633	Lv5 Attack Booster	공격 부스터 LV5	
ITEM_20180327_006634	Adds 27 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +27 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20180327_006635	Lv6 AoE Attack Ratio Potion	광역 공격 비율 증가 포션 LV6	
